Date,Cours,Ouv.,Plus haut,Plus bas,Vol.,Var. %,
"20/02/2026","30,50","30,40","30,50","30,10","181,26K","0,33%",
"19/02/2026","30,40","31,50","31,50","30,30","127,49K","-1,94%",
"18/02/2026","31,00","30,30","31,19","29,51","346,47K","3,37%",
"17/02/2026","29,99","29,58","30,60","29,50","282,85K","-0,03%",
"16/02/2026","30,00","30,01","30,80","29,80","1,78M","6,38%",
"13/02/2026","28,20","30,00","30,00","28,20","1,21M","-7,24%",
"12/02/2026","30,40","30,46","30,60","30,20","95,88K","0,46%",
"11/02/2026","30,26","30,29","30,29","30,02","15,98K","0,87%",
"10/02/2026","30,00","30,60","30,66","30,00","48,04K","-0,50%",
"09/02/2026","30,15","30,33","30,80","30,06","76,78K","0,84%",
"06/02/2026","29,90","30,00","30,00","28,40","422,16K","0,34%",
"05/02/2026","29,80","30,30","30,65","29,80","1,07M","-1,32%",
"04/02/2026","30,20","30,50","30,74","30,20","256,46K","-1,34%",
"03/02/2026","30,61","30,95","31,79","30,61","76,42K","-0,13%",
"02/02/2026","30,65","32,45","32,45","30,65","150,28K","-1,61%",
"30/01/2026","31,15","32,50","32,50","31,15","195,75K","-3,11%",
"29/01/2026","32,15","33,60","33,67","32,11","40,67K","-2,55%",
"28/01/2026","32,99","32,01","33,99","32,01","147,85K","3,58%",
"27/01/2026","31,85","31,01","31,99","31,00","221,78K","2,74%",
"26/01/2026","31,00","32,05","32,49","30,52","503,76K","-3,13%",
"23/01/2026","32,00","33,65","33,99","32,00","1,04M","-4,96%",
"22/01/2026","33,67","34,43","34,45","33,67","91,37K","-0,97%",
"21/01/2026","34,00","34,35","34,44","33,92","152,66K","-0,58%",
"20/01/2026","34,20","34,20","34,50","33,90","219,66K","-0,87%",
"19/01/2026","34,50","34,32","34,70","34,15","54,07K","0,15%",
"16/01/2026","34,45","34,50","34,89","34,31","769,99K","-0,14%",
"15/01/2026","34,50","34,70","35,50","34,11","119,89K","-0,43%",
"13/01/2026","34,65","35,02","35,48","34,65","155,96K","-2,67%",
"12/01/2026","35,60","35,04","35,75","35,04","38,41K","1,22%",
"09/01/2026","35,17","35,50","35,50","34,73","388,17K","0,37%",
"08/01/2026","35,04","35,80","36,00","35,04","136,39K","-2,12%",
"07/01/2026","35,80","36,20","36,40","35,80","193,25K","-1,10%",
"06/01/2026","36,20","35,70","36,48","35,70","209,52K","0,72%",
"05/01/2026","35,94","35,97","35,99","35,51","157,98K","0,14%",
"02/01/2026","35,89","36,00","36,20","35,15","35,51K","-0,25%",
"31/12/2025","35,98","34,61","35,98","34,60","247,05K","2,95%",
"30/12/2025","34,95","35,10","35,10","34,00","595,27K","-0,14%",
"29/12/2025","35,00","35,01","35,79","34,41","423,22K","-2,78%",
"26/12/2025","36,00","35,50","36,00","34,00","523,30K","1,98%",
"25/12/2025","35,30","34,85","36,00","34,70","343,67K","1,52%",
"24/12/2025","34,77","34,99","34,99","34,67","101,41K","-0,63%",
"23/12/2025","34,99","35,00","35,48","34,77","85,20K","-0,14%",
"22/12/2025","35,04","35,10","35,10","34,83","68,64K","0,11%",
"19/12/2025","35,00","35,10","35,15","34,90","209,36K","0,40%",
"18/12/2025","34,86","35,00","35,80","34,70","107,38K","0,98%",
"17/12/2025","34,52","35,00","35,30","34,50","207,07K","-0,66%",
"16/12/2025","34,75","34,61","35,38","34,52","103,56K","-0,14%",
"15/12/2025","34,80","35,40","35,90","34,80","199,64K","-1,69%",
"12/12/2025","35,40","35,50","35,80","35,01","119,90K","1,14%",
"11/12/2025","35,00","36,00","36,00","34,80","224,32K","-2,51%",
"10/12/2025","35,90","36,55","36,70","35,80","99,55K","-0,28%",
"09/12/2025","36,00","36,40","36,40","35,90","126,71K","1,10%",
"08/12/2025","35,61","36,40","37,40","35,61","100,71K","-2,57%",
"05/12/2025","36,55","36,70","36,70","36,21","73,28K","0,41%",
"04/12/2025","36,40","36,60","36,79","36,33","52,71K","-0,82%",
"03/12/2025","36,70","36,23","36,90","36,23","30,03K","1,63%",
"02/12/2025","36,11","36,53","36,53","35,53","183,94K","0,31%",
"01/12/2025","36,00","36,90","36,90","36,00","327,09K","-4,26%",
"28/11/2025","37,60","37,50","37,95","37,12","370,80K","-0,32%",
"27/11/2025","37,72","37,70","37,90","37,00","334,78K","-0,19%",
"26/11/2025","37,79","37,15","37,80","37,15","66,42K","0,40%",
"25/11/2025","37,64","37,65","37,80","37,11","76,02K","0,37%",
"24/11/2025","37,50","37,20","37,50","36,30","176,04K","3,56%",
"21/11/2025","36,21","36,15","36,68","36,10","212,63K","0,56%",
"20/11/2025","36,01","37,30","37,30","36,01","221,66K","-1,91%",
"19/11/2025","36,71","37,11","37,98","36,60","234,93K","-2,11%",
"17/11/2025","37,50","38,48","38,48","37,21","203,02K","-0,82%",
"14/11/2025","37,81","38,69","38,69","37,69","72,15K","0,32%",
"13/11/2025","37,69","37,91","38,10","37,51","45,50K","0,91%",
"12/11/2025","37,35","37,80","38,60","37,16","88,28K","-0,66%",
"11/11/2025","37,60","39,22","39,40","37,60","230,05K","-4,13%",
"10/11/2025","39,22","39,80","40,25","39,05","32,23K","-1,23%",
"07/11/2025","39,71","40,24","40,24","39,71","181,55K","-1,07%",
"05/11/2025","40,14","39,80","40,60","39,80","54,32K","0,32%",
"04/11/2025","40,01","41,00","41,25","39,05","103,24K","-2,65%",
"03/11/2025","41,10","42,10","42,78","41,10","372,76K","0,46%",
"31/10/2025","40,91","41,37","41,40","40,71","144,45K","-1,28%",
"30/10/2025","41,44","41,40","41,50","40,55","439,62K","0,10%",
"29/10/2025","41,40","40,60","42,20","40,60","711,82K","1,25%",
"28/10/2025","40,89","39,39","41,20","39,39","649,40K","2,22%",
"27/10/2025","40,00","40,60","40,89","39,80","63,87K","-2,20%",
"24/10/2025","40,90","39,95","40,90","39,30","84,74K","1,61%",
"23/10/2025","40,25","40,94","40,94","39,51","155,68K","-0,62%",
"22/10/2025","40,50","39,52","40,80","39,52","667,87K","2,66%",
"21/10/2025","39,45","37,99","39,45","37,71","1,11M","4,89%",
"20/10/2025","37,61","37,00","38,30","37,00","185,36K","2,23%",
"17/10/2025","36,79","36,49","36,79","36,00","141,12K","2,19%",
"16/10/2025","36,00","35,26","36,19","35,26","172,94K","3,12%",
"15/10/2025","34,91","35,10","35,90","34,03","314,75K","-0,34%",
"14/10/2025","35,03","36,88","36,88","35,03","278,58K","-2,69%",
"13/10/2025","36,00","36,99","37,00","35,50","68,61K","-0,41%",
"10/10/2025","36,15","36,79","37,00","36,15","201,14K","-1,74%",
"09/10/2025","36,79","37,06","37,40","36,79","99,60K","-0,70%",
"08/10/2025","37,05","37,54","37,89","37,05","116,22K","-1,20%",
"07/10/2025","37,50","38,48","38,48","37,50","122,68K","-1,94%",
"06/10/2025","38,24","39,00","39,25","38,24","160,86K","-0,36%",
"03/10/2025","38,38","37,28","38,99","37,28","265,96K","3,73%",
"02/10/2025","37,00","36,00","37,50","34,50","338,84K","0,00%",
"01/10/2025","37,00","38,10","38,11","37,00","186,87K","-4,39%",
"30/09/2025","38,70","38,69","39,25","36,50","383,70K","1,55%",
"29/09/2025","38,11","38,87","39,50","38,11","222,93K","-4,72%",
"26/09/2025","40,00","39,23","40,00","38,64","271,49K","1,27%",
"25/09/2025","39,50","40,24","40,24","39,24","77,62K","-1,99%",
"24/09/2025","40,30","39,50","40,30","39,21","109,12K","2,54%",
"23/09/2025","39,30","39,99","40,98","39,30","122,72K","-1,01%",
"22/09/2025","39,70","39,85","39,85","39,25","30,85K","1,28%",
"19/09/2025","39,20","40,00","40,05","39,20","63,41K","-2,22%",
"18/09/2025","40,09","40,03","40,35","40,00","122,48K","-0,05%",
"17/09/2025","40,11","40,22","40,52","40,11","47,21K","-0,96%",
"16/09/2025","40,50","40,99","40,99","40,00","183,81K","-0,22%",
"15/09/2025","40,59","41,48","41,50","40,51","68,93K","-0,51%",
"12/09/2025","40,80","41,44","41,70","40,80","94,59K","0,47%",
"11/09/2025","40,61","41,10","41,70","40,61","579,48K","-0,95%",
"10/09/2025","41,00","40,02","41,38","40,02","70,90K","2,50%",
"09/09/2025","40,00","41,35","41,35","40,00","262,35K","-3,26%",
"08/09/2025","41,35","41,60","41,88","41,20","210,58K","-0,84%",
"04/09/2025","41,70","42,99","42,99","41,20","1,46M","-3,00%",
"03/09/2025","42,99","43,50","43,50","42,60","414,53K","-1,40%",
"02/09/2025","43,60","42,00","44,30","40,80","1,73M","2,98%",
"01/09/2025","42,34","41,97","42,34","40,00","3,45M","9,97%",
"29/08/2025","38,50","38,75","39,00","38,50","203,35K","-1,28%",
"28/08/2025","39,00","40,00","40,00","38,91","151,32K","-2,30%",
"27/08/2025","39,92","39,80","40,24","39,80","112,70K","0,05%",
"26/08/2025","39,90","40,02","40,95","39,90","495,01K","-0,20%",
"25/08/2025","39,98","39,20","39,98","39,00","101,77K","2,38%",
"22/08/2025","39,05","39,10","39,20","38,63","76,01K","1,14%",
"19/08/2025","38,61","39,11","39,20","38,15","714,01K","-1,88%",
"18/08/2025","39,35","39,70","40,00","39,00","115,98K","-2,60%",
"15/08/2025","40,40","40,30","40,70","40,03","135,95K","-0,74%",
"13/08/2025","40,70","40,15","40,70","40,00","135,34K","1,62%",
"12/08/2025","40,05","40,72","41,00","39,92","361,68K","-1,65%",
"11/08/2025","40,72","42,00","42,47","40,60","490,04K","-2,47%",
"08/08/2025","41,75","40,85","41,75","40,85","1,11M","4,38%",
"07/08/2025","40,00","39,01","40,22","39,01","885,68K","3,20%",
"06/08/2025","38,76","38,51","38,76","38,23","498,34K","1,47%",
"05/08/2025","38,20","37,20","38,20","37,15","724,36K","2,83%",
"04/08/2025","37,15","37,00","37,15","36,01","452,40K","1,23%",
"01/08/2025","36,70","37,00","37,10","36,70","496,79K","-0,81%",
"31/07/2025","37,00","37,18","37,20","36,52","479,15K","-0,48%",
