Date,Cours,Ouv.,Plus haut,Plus bas,Vol.,Var. %,
"19/03/2026","29,04","29,04","30,00","29,04","0,30K","0,00%",
"18/03/2026","29,04","30,50","30,50","29,04","0,40K","0,14%",
"17/03/2026","29,00","29,00","29,05","29,00","0,41K","-1,69%",
"16/03/2026","29,50","29,00","30,00","29,00","0,22K","0,00%",
"13/03/2026","29,50","30,00","30,00","29,00","0,45K","0,00%",
"12/03/2026","29,50","30,89","30,89","29,00","0,16K","-3,28%",
"11/03/2026","30,50","31,00","31,00","30,50","0,04K","1,57%",
"10/03/2026","30,03","31,00","31,00","30,00","0,02K","0,43%",
"09/03/2026","29,90","31,25","31,25","29,90","0,33K","-4,75%",
"06/03/2026","31,39","31,50","31,50","28,60","0,72K","1,98%",
"05/03/2026","30,78","28,35","30,78","28,35","1,27K","9,42%",
"04/03/2026","28,13","26,00","28,35","26,00","4,45K","4,19%",
"03/03/2026","27,00","26,31","27,50","26,31","1,69K","-7,22%",
"02/03/2026","29,10","31,00","31,00","28,50","2,81K","-6,43%",
"27/02/2026","31,10","31,78","31,78","31,10","0,36K","-0,16%",
"26/02/2026","31,15","31,00","31,50","31,00","0,87K","-1,11%",
"25/02/2026","31,50","31,90","31,90","31,50","0,10K","0,83%",
"24/02/2026","31,24","31,22","31,90","31,22","0,64K","0,06%",
"23/02/2026","31,22","31,97","31,97","31,21","3,78K","-0,03%",
"20/02/2026","31,23","31,15","31,98","31,15","0,37K","-2,35%",
"19/02/2026","31,98","31,98","31,98","31,15","0,43K","2,50%",
"18/02/2026","31,20","32,00","32,00","31,11","0,39K","0,19%",
"17/02/2026","31,14","32,19","32,19","31,14","3,21K","-0,26%",
"16/02/2026","31,22","31,22","32,43","31,10","5,59K","-3,31%",
"13/02/2026","32,29","32,40","32,40","31,20","0,78K","0,28%",
"12/02/2026","32,20","31,60","32,20","31,60","0,04K","0,63%",
"11/02/2026","32,00","32,20","32,20","31,01","0,09K","1,59%",
"10/02/2026","31,50","32,50","32,50","31,50","2,07K","-0,54%",
"09/02/2026","31,67","32,50","32,79","31,51","1,58K","2,16%",
"06/02/2026","31,00","31,00","31,49","30,80","0,81K","-0,51%",
"05/02/2026","31,16","31,30","31,30","31,15","0,94K","-0,45%",
"04/02/2026","31,30","32,89","32,89","31,30","0,21K","0,32%",
"03/02/2026","31,20","31,99","31,99","31,15","1,34K","-0,95%",
"02/02/2026","31,50","32,99","32,99","31,50","1,36K","-1,56%",
"30/01/2026","32,00","32,99","32,99","31,05","2,43K","0,00%",
"29/01/2026","32,00","32,00","32,99","32,00","1,14K","-2,11%",
"28/01/2026","32,69","32,93","32,93","31,00","1,64K","2,16%",
"27/01/2026","32,00","32,95","32,95","32,00","0,71K","4,92%",
"26/01/2026","30,50","32,54","32,54","30,50","6,80K","-6,58%",
"23/01/2026","32,65","33,50","33,50","32,65","0,39K","-1,09%",
"22/01/2026","33,01","33,50","33,50","32,55","0,29K","-1,40%",
"21/01/2026","33,48","32,55","33,69","32,55","0,15K","2,39%",
"20/01/2026","32,70","33,73","33,73","32,70","0,79K","-2,94%",
"19/01/2026","33,69","33,74","33,75","32,51","1,61K","0,87%",
"16/01/2026","33,40","33,50","33,85","33,00","1,55K","-0,30%",
"15/01/2026","33,50","33,78","33,80","32,88","2,98K","-0,98%",
"13/01/2026","33,83","33,00","33,95","32,93","1,50K","2,52%",
"12/01/2026","33,00","34,74","34,74","33,00","9,96K","-2,94%",
"09/01/2026","34,00","34,50","34,50","33,55","0,90K","-1,36%",
"08/01/2026","34,47","34,64","34,64","33,00","5,80K","1,09%",
"07/01/2026","34,10","34,88","34,88","33,61","5,23K","-1,98%",
"06/01/2026","34,79","34,00","34,88","34,00","2,88K","2,32%",
"05/01/2026","34,00","34,00","34,89","34,00","2,42K","-1,45%",
"02/01/2026","34,50","34,09","34,66","34,00","1,23K","0,64%",
"31/12/2025","34,28","34,39","34,39","33,60","0,84K","1,87%",
"30/12/2025","33,65","34,34","34,34","32,50","1,25K","1,97%",
"29/12/2025","33,00","33,50","34,39","33,00","1,14K","-1,49%",
"26/12/2025","33,50","33,21","34,42","33,21","0,32K","-2,59%",
"25/12/2025","34,39","33,22","34,45","33,22","1,33K","0,00%",
"24/12/2025","34,39","34,44","34,44","34,10","1,54K","1,15%",
"23/12/2025","34,00","33,70","34,75","33,70","6,12K","1,43%",
"22/12/2025","33,52","35,00","35,00","33,12","1,21K","-0,83%",
"19/12/2025","33,80","35,00","35,00","33,60","2,66K","-0,15%",
"18/12/2025","33,85","34,49","34,49","33,18","2,41K","-0,44%",
"17/12/2025","34,00","34,47","34,60","33,95","1,56K","-1,28%",
"16/12/2025","34,44","34,00","34,72","33,11","3,27K","0,61%",
"15/12/2025","34,23","32,25","34,54","32,25","1,99K","0,41%",
"12/12/2025","34,09","34,25","34,26","33,99","1,91K","0,29%",
"11/12/2025","33,99","34,49","34,83","32,00","6,39K","-2,86%",
"10/12/2025","34,99","33,12","35,00","33,12","0,63K","-0,03%",
"09/12/2025","35,00","35,26","35,26","34,16","0,16K","2,64%",
"08/12/2025","34,10","34,00","35,39","34,00","0,15K","-1,87%",
"05/12/2025","34,75","34,10","34,90","34,10","0,88K","-0,52%",
"04/12/2025","34,93","34,11","34,95","34,11","0,39K","-1,58%",
"03/12/2025","35,49","34,00","35,50","34,00","0,63K","4,38%",
"02/12/2025","34,00","35,86","35,86","34,00","4,49K","-5,00%",
"01/12/2025","35,79","35,10","35,79","34,60","0,33K","3,44%",
"28/11/2025","34,60","35,89","35,89","34,00","1,79K","-1,14%",
"27/11/2025","35,00","35,92","35,92","35,00","2,11K","0,00%",
"26/11/2025","35,00","35,92","35,92","35,00","0,61K","-2,45%",
"25/11/2025","35,88","34,01","35,88","34,01","1,12K","1,61%",
"24/11/2025","35,31","34,01","35,90","34,00","1,24K","2,05%",
"21/11/2025","34,60","34,30","35,99","34,00","0,65K","1,17%",
"20/11/2025","34,20","35,50","36,50","34,20","3,13K","-3,66%",
"19/11/2025","35,50","36,60","36,60","35,50","2,02K","-3,59%",
"17/11/2025","36,82","37,78","37,78","36,82","0,13K","0,05%",
"14/11/2025","36,80","37,94","37,94","36,80","0,23K","-3,13%",
"13/11/2025","37,99","37,20","38,14","37,15","0,17K","0,08%",
"12/11/2025","37,96","37,98","37,98","37,15","0,33K","2,04%",
"11/11/2025","37,20","38,00","38,00","37,20","0,42K","-3,35%",
"10/11/2025","38,49","38,77","38,77","37,50","0,95K","-0,75%",
"07/11/2025","38,78","38,00","39,00","38,00","0,15K","0,60%",
"05/11/2025","38,55","37,51","38,63","37,51","0,38K","0,65%",
"04/11/2025","38,30","39,10","39,10","38,30","0,31K","-2,30%",
"03/11/2025","39,20","38,95","39,56","37,20","5,07K","0,67%",
"31/10/2025","38,94","38,03","39,27","38,03","0,44K","-0,31%",
"30/10/2025","39,06","38,10","39,37","38,10","5,56K","-0,86%",
"29/10/2025","39,40","38,94","39,40","38,00","2,97K","2,34%",
"28/10/2025","38,50","38,60","38,85","38,00","0,93K","1,32%",
"27/10/2025","38,00","37,51","38,48","37,50","1,22K","0,00%",
"24/10/2025","38,00","38,00","38,49","37,02","0,50K","-1,30%",
"22/10/2025","38,50","38,00","38,50","38,00","1,11K","1,34%",
"21/10/2025","37,99","38,80","38,80","36,01","2,54K","0,66%",
"20/10/2025","37,74","38,31","38,31","35,60","1,32K","2,55%",
"17/10/2025","36,80","35,60","36,98","35,60","1,21K","-0,54%",
"16/10/2025","37,00","37,00","37,00","36,99","0,61K","0,03%",
"15/10/2025","36,99","37,20","37,20","35,40","1,92K","-0,03%",
"14/10/2025","37,00","38,29","38,29","37,00","0,54K","-3,50%",
"13/10/2025","38,34","38,44","38,44","37,10","0,12K","1,70%",
"10/10/2025","37,70","38,00","38,45","37,70","0,60K","-1,80%",
"09/10/2025","38,39","37,30","38,39","37,00","0,99K","1,03%",
"08/10/2025","38,00","38,00","38,00","36,80","0,42K","0,00%",
"07/10/2025","38,00","36,72","38,20","36,72","0,51K","0,26%",
"06/10/2025","37,90","38,45","38,45","36,53","0,37K","-0,13%",
"03/10/2025","37,95","36,00","38,00","36,00","0,75K","5,42%",
"02/10/2025","36,00","36,02","37,55","34,70","5,94K","0,00%",
"01/10/2025","36,00","37,89","37,89","36,00","0,85K","-5,01%",
"30/09/2025","37,90","36,05","37,90","35,00","2,67K","1,07%",
"29/09/2025","37,50","37,80","38,00","37,50","1,78K","-2,09%",
"26/09/2025","38,30","38,50","38,95","38,10","0,53K","-3,04%",
"25/09/2025","39,50","37,73","40,00","37,73","8,50K","2,86%",
"24/09/2025","38,40","38,40","38,40","37,70","2,37K","0,79%",
"23/09/2025","38,10","38,50","38,80","38,00","1,69K","-2,06%",
"22/09/2025","38,90","38,50","38,95","38,50","0,07K","1,83%",
"19/09/2025","38,20","38,20","38,90","38,20","1,41K","-1,55%",
"18/09/2025","38,80","38,95","38,95","38,10","2,21K","-0,51%",
"17/09/2025","39,00","39,00","39,00","38,22","0,32K","0,65%",
"16/09/2025","38,75","38,10","39,00","38,10","1,52K","-2,56%",
"15/09/2025","39,77","38,60","39,99","38,00","3,09K","-0,30%",
"12/09/2025","39,89","39,98","40,00","38,50","3,41K","2,28%",
"11/09/2025","39,00","40,00","40,00","39,00","1,14K","0,00%",
"10/09/2025","39,00","39,80","39,80","38,30","3,54K","0,00%",
"09/09/2025","39,00","40,00","40,00","39,00","3,85K","-2,50%",
"08/09/2025","40,00","40,00","40,00","39,80","10,88K","0,00%",
"04/09/2025","40,00","40,00","40,50","40,00","4,31K","0,38%",
"03/09/2025","39,85","39,70","40,40","39,70","1,54K","0,38%",
"02/09/2025","39,70","40,50","40,70","39,60","3,60K","-0,73%",
"01/09/2025","39,99","40,96","40,96","39,50","2,56K","0,48%",
"29/08/2025","39,80","40,00","40,95","39,80","1,08K","-0,50%",
"28/08/2025","40,00","41,00","41,00","40,00","12,99K","0,00%",
"27/08/2025","40,00","41,00","41,00","40,00","16,47K","-2,42%",
"26/08/2025","40,99","41,50","41,50","39,78","11,80K","-1,23%",
"25/08/2025","41,50","41,50","41,50","39,76","0,62K","0,00%",
"22/08/2025","41,50","41,50","41,50","41,00","1,81K","0,12%",
"19/08/2025","41,45","40,32","41,50","40,00","3,41K","1,10%",
"18/08/2025","41,00","41,20","42,19","41,00","1,86K","-2,15%",
"15/08/2025","41,90","42,45","42,45","41,20","3,44K","-1,30%",
"13/08/2025","42,45","42,00","42,50","41,85","13,38K","2,54%",
"12/08/2025","41,40","41,00","42,70","41,00","4,28K","-3,27%",
"11/08/2025","42,80","42,00","43,80","41,80","18,49K","2,39%",
"08/08/2025","41,80","39,99","42,00","39,03","26,43K","4,79%",
"07/08/2025","39,89","40,00","40,00","39,00","8,54K","-0,85%",
"06/08/2025","40,23","37,36","40,39","37,36","14,29K","-1,83%",
"05/08/2025","40,98","42,00","42,00","39,00","8,55K","-2,38%",
"04/08/2025","41,98","38,50","41,99","37,70","31,00K","7,92%",
"01/08/2025","38,90","39,80","39,80","38,37","2,17K","1,38%",
"31/07/2025","38,37","38,79","39,00","38,00","1,21K","-1,36%",
"29/07/2025","38,90","38,50","38,90","38,01","1,84K","0,78%",
"28/07/2025","38,60","38,05","38,95","38,05","1,19K","-2,25%",
"25/07/2025","39,49","39,00","39,50","38,50","1,03K","1,26%",
"24/07/2025","39,00","39,50","39,50","39,00","0,10K","-1,27%",
"23/07/2025","39,50","38,10","40,30","37,06","6,65K","3,95%",
"22/07/2025","38,00","38,50","39,80","38,00","4,14K","-2,56%",
"21/07/2025","39,00","39,87","39,87","38,41","0,77K","-2,21%",
"18/07/2025","39,88","38,50","39,88","38,10","1,11K","-0,67%",
"17/07/2025","40,15","40,43","40,70","38,02","2,41K","-0,69%",
"16/07/2025","40,43","37,10","40,65","37,10","5,03K","9,27%",
"15/07/2025","37,00","38,61","39,00","37,00","2,38K","-4,32%",
"14/07/2025","38,67","39,00","39,00","38,60","3,08K","-0,85%",
"11/07/2025","39,00","41,03","41,80","38,61","5,05K","-4,95%",
"10/07/2025","41,03","40,40","43,00","40,19","22,68K","2,06%",
"09/07/2025","40,20","40,00","41,00","38,60","24,34K","5,40%",
"08/07/2025","38,14","35,11","38,14","35,11","12,93K","9,98%",
"07/07/2025","34,68","34,68","34,68","34,68","0,92K","-9,99%",
"04/07/2025","38,53","38,53","38,53","38,53","0,83K","-10,00%",
"03/07/2025","42,81","52,20","52,20","42,81","42,37K","-9,99%",
"02/07/2025","47,56","47,56","47,56","47,56","4,62K","9,99%",
"01/07/2025","43,24","43,24","43,24","43,24","8,99K","10,00%",
"30/06/2025","39,31","39,31","39,31","39,31","4,24K","9,99%",
"26/06/2025","35,74","35,00","35,74","35,00","13,69K","9,97%",
"25/06/2025","32,50","32,00","32,50","31,40","3,74K","0,96%",
"24/06/2025","32,19","31,80","32,19","31,15","1,88K","1,07%",
"23/06/2025","31,85","31,80","31,85","31,80","0,54K","0,16%",
"20/06/2025","31,80","31,99","31,99","31,20","0,07K","0,95%",
"19/06/2025","31,50","31,50","31,50","31,50","0,32K","-0,03%",
"18/06/2025","31,51","31,50","31,51","31,50","0,01K","-2,11%",
"17/06/2025","32,19","32,20","32,20","32,00","0,63K","3,17%",
"16/06/2025","31,20","32,00","32,20","31,10","1,54K","-1,89%",
"13/06/2025","31,80","31,75","32,00","31,70","0,71K","-0,63%",
"12/06/2025","32,00","31,69","32,00","31,69","2,41K","0,98%",
"11/06/2025","31,69","31,70","31,70","31,00","0,49K","0,00%",
"10/06/2025","31,69","31,75","31,75","30,90","0,85K","3,06%",
"06/06/2025","30,75","30,70","30,81","30,70","0,54K","-1,73%",
"05/06/2025","31,29","30,65","31,45","30,58","1,77K","2,15%",
"04/06/2025","30,63","30,63","30,63","30,63","0,54K","0,00%",
"03/06/2025","30,63","30,63","30,80","30,63","4,70K","-1,51%",
"02/06/2025","31,10","31,90","31,90","31,10","1,31K","0,00%",
"30/05/2025","31,10","31,10","31,10","31,00","1,12K","-2,57%",
"29/05/2025","31,92","32,09","32,09","31,00","2,01K","2,11%",
"28/05/2025","31,26","32,00","32,20","31,26","4,47K","0,10%",
"27/05/2025","31,23","31,99","31,99","31,20","1,08K","-2,41%",
