Date,Cours,Ouv.,Plus haut,Plus bas,Vol.,Var. %,
"20/02/2026","92,50","92,00","92,50","91,00","10,42K","0,54%",
"19/02/2026","92,00","91,50","92,99","91,50","4,67K","0,55%",
"18/02/2026","91,50","90,80","91,50","89,00","8,37K","1,69%",
"17/02/2026","89,98","90,05","90,60","89,98","3,85K","-0,02%",
"16/02/2026","90,00","90,00","90,60","88,00","5,81K","0,00%",
"13/02/2026","90,00","90,00","90,00","88,01","12,42K","0,56%",
"12/02/2026","89,50","85,00","90,00","85,00","22,52K","6,55%",
"11/02/2026","84,00","85,00","85,00","84,00","0,48K","0,00%",
"10/02/2026","84,00","84,98","84,98","83,21","0,85K","-1,11%",
"09/02/2026","84,94","85,00","85,70","83,20","1,50K","-0,07%",
"06/02/2026","85,00","83,50","85,00","81,00","6,65K","4,29%",
"05/02/2026","81,50","84,39","84,39","81,50","3,65K","-3,46%",
"04/02/2026","84,42","84,89","84,89","82,00","0,38K","-0,67%",
"03/02/2026","84,99","84,00","84,99","83,00","1,06K","1,18%",
"02/02/2026","84,00","85,00","85,00","82,50","1,37K","-1,87%",
"30/01/2026","85,60","85,00","85,60","83,00","5,25K","0,71%",
"29/01/2026","85,00","84,60","85,89","84,00","1,13K","0,00%",
"28/01/2026","85,00","83,00","85,00","82,00","1,95K","3,66%",
"27/01/2026","82,00","83,00","83,00","80,60","1,18K","0,00%",
"26/01/2026","82,00","84,00","84,00","81,00","11,25K","-4,21%",
"23/01/2026","85,60","85,60","85,60","83,10","2,11K","0,71%",
"22/01/2026","85,00","84,00","85,00","83,00","0,74K","1,19%",
"21/01/2026","84,00","85,00","85,00","83,00","1,43K","0,01%",
"20/01/2026","83,99","84,94","84,94","83,50","2,62K","-1,10%",
"19/01/2026","84,92","85,89","85,89","83,00","1,79K","-0,07%",
"16/01/2026","84,98","85,00","85,00","83,01","0,76K","1,29%",
"15/01/2026","83,90","85,99","85,99","83,90","1,17K","-1,29%",
"13/01/2026","85,00","84,50","86,29","84,50","2,12K","0,59%",
