Date,Cours,Ouv.,Plus haut,Plus bas,Vol.,Var. %,
"20/02/2026","5,8995","5,8155","5,9375","5,7915","41,26K","1,74%",
"19/02/2026","5,7985","5,8385","5,8715","5,7395","22,21K","-1,10%",
"18/02/2026","5,8630","5,7365","5,8705","5,7285","23,93K","2,79%",
"17/02/2026","5,7040","5,8390","5,8620","5,6895","39,47K","-0,96%",
"16/02/2026","5,7593","5,7775","5,8000","5,7370","11,35K","-0,32%",
"15/02/2026","5,7778","5,7835","5,7838","5,7530","0","-0,43%",
"13/02/2026","5,8030","5,7695","5,8490","5,6775","68,16K","0,30%",
"12/02/2026","5,7855","5,9860","6,0230","5,7545","66,50K","-3,02%",
"11/02/2026","5,9655","5,9085","6,0880","5,8930","72,88K","0,88%",
"10/02/2026","5,9135","5,9585","5,9615","5,8825","41,49K","-0,82%",
"09/02/2026","5,9625","5,9000","5,9810","5,8435","49,26K","1,37%",
"06/02/2026","5,8820","5,7320","5,8910","5,5955","63,95K","1,05%",
"05/02/2026","5,8210","5,9360","5,9640","5,6850","61,61K","-0,50%",
"04/02/2026","5,8500","6,1000","6,1155","5,8320","65,56K","-3,89%",
"03/02/2026","6,0865","5,8395","6,1150","5,8300","78,32K","4,48%",
"02/02/2026","5,8255","5,9050","5,9050","5,5640","107,34K","-1,66%",
"30/01/2026","5,9240","6,2845","6,3870","5,7600","149,30K","-4,51%",
"29/01/2026","6,2035","5,9970","6,5830","5,9550","197,66K","5,18%",
"28/01/2026","5,8980","5,9245","5,9730","5,8785","1,68K","1,11%",
"27/01/2026","5,8335","5,8905","5,9225","5,7835","4,62K","-2,63%",
"26/01/2026","5,9910","5,9220","6,0040","5,8685","0,91K","0,73%",
"23/01/2026","5,9475","5,8055","5,9670","5,7865","54,75K","2,92%",
"22/01/2026","5,7790","5,8100","5,8185","5,6960","48,18K","0,19%",
"21/01/2026","5,7680","5,8335","5,8960","5,7335","56,86K","-0,77%",
"20/01/2026","5,8125","5,8600","5,9370","5,7440","103,67K","-1,42%",
"19/01/2026","5,8965","5,9000","5,9368","5,8335","32,92K","-0,05%",
"18/01/2026","5,8993","5,8678","5,9135","5,8630","0","1,17%",
"16/01/2026","5,8310","5,9930","6,0245","5,7715","69,75K","-2,68%",
"15/01/2026","5,9915","6,0990","6,1095","5,9080","58,29K","-1,06%",
"14/01/2026","6,0555","6,0050","6,1540","6,0040","61,22K","0,66%",
"13/01/2026","6,0160","6,0085","6,0935","5,9475","53,74K","-0,26%",
"12/01/2026","6,0315","5,8985","6,0690","5,8970","62,29K","2,19%",
"09/01/2026","5,9025","5,8075","5,9390","5,7385","47,97K","1,83%",
"08/01/2026","5,7965","5,8545","5,9285","5,6955","66,82K","-1,09%",
"07/01/2026","5,8605","6,0620","6,0695","5,8410","72,69K","-3,33%",
"06/01/2026","6,0625","5,9890","6,1125","5,9455","81,40K","1,46%",
"05/01/2026","5,9755","5,7095","6,0070","5,6995","57,09K","4,99%",
"02/01/2026","5,6915","5,6970","5,7590","5,6680","30,55K","-1,12%",
"01/01/2026","5,7560","5,6900","5,7585","5,6620","0","1,30%",
"31/12/2025","5,6820","5,7535","5,7785","5,6375","33,74K","-1,72%",
"30/12/2025","5,7815","5,5745","5,7955","5,5350","50,41K","4,42%",
"29/12/2025","5,5370","5,8290","5,8855","5,5280","2,35K","-5,18%",
"26/12/2025","5,8395","5,6800","5,8880","5,6695","58,43K","2,64%",
"25/12/2025","5,6892","5,5730","5,7025","5,5730","3,20K","2,05%",
"24/12/2025","5,5750","5,5630","5,6645","5,5310","31,21K","0,41%",
"23/12/2025","5,5520","5,5010","5,6210","5,4840","47,69K","0,77%",
"22/12/2025","5,5095","5,4875","5,5530","5,4800","31,55K","-0,01%",
"19/12/2025","5,5100","5,4275","5,5655","5,4055","51,02K","1,33%",
"18/12/2025","5,4375","5,4275","5,4690","5,3805","33,50K","0,04%",
"17/12/2025","5,4355","5,3615","5,4655","5,3610","37,25K","1,43%",
"16/12/2025","5,3590","5,4110","5,4130","5,3175","37,00K","-0,98%",
"15/12/2025","5,4120","5,3490","5,5200","5,3440","41,89K","0,99%",
"12/12/2025","5,3590","5,4885","5,5305","5,2800","65,05K","-2,59%",
"11/12/2025","5,5015","5,4020","5,5160","5,3600","51,03K","2,76%",
"10/12/2025","5,3535","5,3325","5,4230","5,3230","40,88K","0,63%",
"09/12/2025","5,3200","5,4300","5,4405","5,3135","42,35K","-2,29%",
"08/12/2025","5,4445","5,4565","5,4950","5,3950","35,41K","-0,32%",
"05/12/2025","5,4620","5,3605","5,4900","5,3455","53,21K","1,65%",
"04/12/2025","5,3735","5,3935","5,4255","5,3100","42,57K","-0,29%",
"03/12/2025","5,3890","5,2465","5,4370","5,2415","63,26K","2,78%",
"02/12/2025","5,2430","5,2700","5,3160","5,2235","47,27K","-1,13%",
"01/12/2025","5,3030","5,2825","5,3635","5,2645","56,37K","0,59%",
"28/11/2025","5,2720","5,2060","5,3095","5,1330","33,34K","2,02%",
"27/11/2025","5,1677","5,2080","5,2098","5,1330","0,01K","-0,51%",
"26/11/2025","5,1940","5,1095","5,2100","5,1010","47,88K","2,60%",
"25/11/2025","5,0625","5,0615","5,1560","5,0615","2,87K","0,73%",
"24/11/2025","5,0260","5,0650","5,0700","5,0260","2,64K","-1,37%",
"21/11/2025","5,0960","5,0330","5,1035","4,9955","42,53K","0,94%",
"20/11/2025","5,0485","5,1035","5,1330","5,0255","36,03K","-0,95%",
"19/11/2025","5,0970","5,0455","5,1155","5,0290","29,75K","0,92%",
"18/11/2025","5,0505","5,0670","5,0830","5,0235","28,83K","-0,71%",
"17/11/2025","5,0865","5,1235","5,1310","5,0380","19,20K","0,46%",
"14/11/2025","5,0630","5,0615","5,0920","5,0020","52,63K","-0,76%",
"13/11/2025","5,1020","5,0925","5,1630","5,0365","49,07K","-0,07%",
"12/11/2025","5,1055","5,0635","5,1505","5,0250","56,92K","0,78%",
"11/11/2025","5,0660","5,0955","5,1045","5,0520","41,75K","-0,78%",
"10/11/2025","5,1060","4,9700","5,1200","4,9670","67,12K","3,01%",
"07/11/2025","4,9570","4,9735","5,0080","4,9515","43,08K","-0,21%",
"06/11/2025","4,9675","4,9930","5,0375","4,9525","37,76K","-0,37%",
"05/11/2025","4,9860","4,9280","5,0070","4,8880","39,27K","0,76%",
"04/11/2025","4,9485","5,0545","5,0660","4,9075","58,73K","-2,38%",
"03/11/2025","5,0690","5,1000","5,1295","5,0185","37,96K","-0,39%",
"31/10/2025","5,0890","5,1110","5,1285","5,0480","48,75K","-0,29%",
"30/10/2025","5,1040","5,2035","5,2335","5,0425","72,32K","-2,54%",
"29/10/2025","5,2370","5,1995","5,2445","5,1640","2,28K","1,79%",
"28/10/2025","5,1450","5,1295","5,1495","5,0660","0,76K","-0,02%",
"27/10/2025","5,1460","5,1450","5,1885","5,1225","1,94K","0,46%",
"24/10/2025","5,1225","5,0880","5,1515","5,0675","41,83K","0,23%",
"23/10/2025","5,1105","4,9925","5,1185","4,9785","45,66K","2,30%",
"22/10/2025","4,9955","4,9560","5,0160","4,9155","30,94K","0,59%",
"21/10/2025","4,9660","5,0500","5,0720","4,9145","42,03K","-1,39%",
"20/10/2025","5,0360","4,9885","5,0760","4,9710","33,17K","1,34%",
"17/10/2025","4,9695","4,9875","5,0245","4,8835","42,19K","-0,59%",
"16/10/2025","4,9990","4,9765","5,0165","4,9305","41,84K","-0,31%",
"15/10/2025","5,0145","5,0105","5,0825","4,9450","39,51K","-0,17%",
"14/10/2025","5,0230","5,1325","5,1780","4,9315","64,24K","-2,35%",
"13/10/2025","5,1440","4,9230","5,1800","4,9225","1,35K","5,11%",
"10/10/2025","4,8940","5,1405","5,1785","4,8220","78,40K","-4,47%",
"09/10/2025","5,1230","5,0805","5,2610","5,0400","70,17K","0,56%",
"08/10/2025","5,0945","5,0940","5,1560","5,0650","42,26K","-0,06%",
"07/10/2025","5,0975","5,0420","5,1465","5,0320","42,49K","1,18%",
"06/10/2025","5,0380","5,0890","5,1240","5,0145","39,93K","-1,39%",
"03/10/2025","5,1090","4,9540","5,1205","4,9380","53,04K","3,22%",
"02/10/2025","4,9495","4,8920","4,9895","4,8500","45,08K","1,37%",
"01/10/2025","4,8825","4,8790","4,9040","4,8160","33,39K","0,54%",
"30/09/2025","4,8565","4,9055","4,9130","4,8200","38,78K","-0,73%",
"29/09/2025","4,8920","4,7600","4,9205","4,7505","40,79K","3,08%",
"26/09/2025","4,7460","4,7500","4,7700","4,6920","1,61K","0,29%",
"25/09/2025","4,7325","4,8515","4,9045","4,7335","0,78K","-1,17%",
"24/09/2025","4,7885","4,6150","4,8200","4,5930","1,47K","3,66%",
"23/09/2025","4,6195","4,6150","4,6210","4,6005","0,42K","0,26%",
