Date,Cours,Ouv.,Plus haut,Plus bas,Vol.,Var. %,
"20/02/2026","68,56","69,70","69,98","68,56","2,03K","-1,35%",
"19/02/2026","69,50","68,61","69,98","68,56","2,48K","0,00%",
"18/02/2026","69,50","69,00","70,00","69,00","0,57K","-0,70%",
"17/02/2026","69,99","70,00","70,00","68,41","2,84K","-0,01%",
"16/02/2026","70,00","70,00","70,68","68,70","99,75K","1,51%",
"13/02/2026","68,96","70,50","70,72","68,96","45,30K","-1,49%",
"12/02/2026","70,00","69,50","70,00","69,00","202,28K","0,72%",
"11/02/2026","69,50","70,65","70,65","69,00","2,36K","0,72%",
"10/02/2026","69,00","70,30","70,30","69,00","100,88K","0,00%",
"09/02/2026","69,00","68,50","70,90","68,50","5,37K","1,47%",
"06/02/2026","68,00","70,00","70,00","67,80","26,43K","-1,31%",
"05/02/2026","68,90","70,00","70,00","68,01","24,59K","-2,27%",
"04/02/2026","70,50","71,00","71,00","70,00","684,95K","0,71%",
"03/02/2026","70,00","71,00","71,00","70,00","3,02K","0,00%",
"02/02/2026","70,00","72,00","72,00","70,00","25,23K","-1,38%",
"30/01/2026","70,98","71,55","72,50","70,98","150,66K","-1,55%",
"29/01/2026","72,10","73,00","73,00","71,00","372,24K","-0,55%",
"28/01/2026","72,50","70,80","73,75","70,00","309,80K","3,20%",
"27/01/2026","70,25","70,50","70,90","70,00","12,63K","-0,14%",
"26/01/2026","70,35","70,70","71,50","69,50","19,08K","-0,50%",
"23/01/2026","70,70","72,55","72,55","70,70","25,89K","-2,46%",
"22/01/2026","72,48","72,87","72,87","71,01","1,49K","2,66%",
"21/01/2026","70,60","73,00","73,01","70,10","21,25K","-2,49%",
"20/01/2026","72,40","73,00","73,15","72,11","4,02K","-0,82%",
"19/01/2026","73,00","74,00","74,00","73,00","3,44K","-1,35%",
"16/01/2026","74,00","74,30","74,50","74,00","7,11K","-0,42%",
"15/01/2026","74,31","74,50","75,97","74,31","65,47K","-0,92%",
"13/01/2026","75,00","76,00","76,00","74,50","6,66K","-1,30%",
"12/01/2026","75,99","76,00","76,01","75,00","4,39K","-0,01%",
"09/01/2026","76,00","77,19","77,19","75,65","42,91K","0,00%",
"08/01/2026","76,00","77,31","78,14","76,00","8,72K","-2,93%",
