Date,Cours,Ouv.,Plus haut,Plus bas,Vol.,Var. %,
"20/02/2026","51,00","51,40","51,40","50,01","0,79K","0,00%",
"19/02/2026","51,00","51,39","51,40","51,00","0,84K","-0,76%",
"18/02/2026","51,39","50,95","51,39","50,00","6,90K","0,96%",
"17/02/2026","50,90","51,00","51,00","50,00","4,17K","-0,20%",
"16/02/2026","51,00","51,20","51,39","50,50","2,35K","1,59%",
"13/02/2026","50,20","50,10","51,36","50,05","2,47K","-1,18%",
"12/02/2026","50,80","51,00","51,30","50,05","3,54K","-0,39%",
"11/02/2026","51,00","51,50","51,50","50,00","4,70K","-1,30%",
"10/02/2026","51,67","50,90","51,77","50,12","3,16K","1,51%",
"09/02/2026","50,90","50,21","51,49","50,00","5,07K","1,60%",
"06/02/2026","50,10","50,79","52,50","49,70","16,57K","1,11%",
"05/02/2026","49,55","51,00","51,50","49,55","3,62K","-2,84%",
"04/02/2026","51,00","51,88","51,88","50,50","0,23K","0,00%",
"03/02/2026","51,00","51,00","51,49","50,99","0,64K","0,02%",
"02/02/2026","50,99","50,50","51,99","49,52","5,81K","-0,99%",
"30/01/2026","51,50","52,85","52,85","51,00","1,50K","0,00%",
"29/01/2026","51,50","51,50","51,50","51,00","1,45K","0,98%",
"28/01/2026","51,00","51,50","52,98","51,00","3,08K","0,39%",
"27/01/2026","50,80","51,97","51,97","50,50","3,39K","-2,31%",
"26/01/2026","52,00","51,00","52,00","49,00","12,01K","-1,23%",
"23/01/2026","52,65","52,20","52,80","51,25","1,93K","0,86%",
"22/01/2026","52,20","53,00","53,50","52,11","1,08K","-0,93%",
"21/01/2026","52,69","51,60","52,80","51,60","1,90K","-0,40%",
"20/01/2026","52,90","52,10","53,00","51,53","2,81K","-0,19%",
"19/01/2026","53,00","53,86","53,86","52,00","1,49K","1,92%",
"16/01/2026","52,00","52,95","52,95","51,50","3,50K","-0,76%",
"15/01/2026","52,40","51,80","52,85","51,50","3,63K","-0,85%",
"13/01/2026","52,85","53,00","53,00","52,00","6,01K","0,19%",
"12/01/2026","52,75","54,00","54,00","52,11","16,00K","-0,47%",
"09/01/2026","53,00","54,20","54,90","53,00","5,34K","-1,85%",
"08/01/2026","54,00","55,38","55,38","54,00","1,53K","-2,70%",
"07/01/2026","55,50","55,74","55,74","54,14","1,74K","-0,43%",
"06/01/2026","55,74","55,10","55,90","55,00","7,00K","-0,25%",
"05/01/2026","55,88","53,50","56,00","52,50","17,89K","8,50%",
"02/01/2026","51,50","54,00","54,50","51,50","7,88K","-4,63%",
"31/12/2025","54,00","53,90","54,00","51,50","7,53K","0,93%",
"30/12/2025","53,50","52,00","53,50","50,50","26,66K","4,90%",
"29/12/2025","51,00","52,00","52,00","49,50","27,42K","2,00%",
"26/12/2025","50,00","53,00","53,84","50,00","7,69K","-5,66%",
"25/12/2025","53,00","52,00","53,00","51,01","6,44K","0,02%",
"24/12/2025","52,99","52,99","53,00","52,00","2,37K","1,90%",
"23/12/2025","52,00","53,00","53,98","52,00","14,49K","-1,89%",
"22/12/2025","53,00","53,49","53,49","52,75","1,95K","0,00%",
"19/12/2025","53,00","53,98","53,98","52,90","3,05K","-1,67%",
"18/12/2025","53,90","52,56","54,00","52,56","4,50K","1,70%",
"17/12/2025","53,00","53,99","53,99","52,80","4,78K","0,02%",
"16/12/2025","52,99","54,00","54,90","52,99","7,42K","-2,77%",
"15/12/2025","54,50","54,90","54,90","53,03","2,62K","0,93%",
"12/12/2025","54,00","54,94","54,94","53,00","5,27K","2,45%",
"11/12/2025","52,71","54,95","55,00","52,71","4,75K","-4,08%",
"10/12/2025","54,95","54,48","55,00","54,30","1,21K","0,84%",
"09/12/2025","54,49","54,00","54,50","52,95","0,33K","0,91%",
"08/12/2025","54,00","53,11","54,45","53,11","2,80K","-0,92%",
"05/12/2025","54,50","53,11","54,50","53,11","2,01K","0,93%",
"04/12/2025","54,00","54,00","54,50","52,70","3,73K","-0,92%",
"03/12/2025","54,50","53,64","55,00","53,64","2,83K","-0,91%",
"02/12/2025","55,00","55,99","55,99","54,00","0,91K","0,00%",
"01/12/2025","55,00","56,00","56,00","53,70","3,63K","-0,90%",
"28/11/2025","55,50","56,01","56,30","53,69","7,95K","-0,89%",
"27/11/2025","56,00","54,25","56,90","54,25","7,97K","1,82%",
"26/11/2025","55,00","55,89","55,89","53,66","1,04K","0,00%",
"25/11/2025","55,00","56,59","56,59","54,10","3,01K","2,48%",
"24/11/2025","53,67","57,58","57,58","53,67","2,37K","-6,81%",
"21/11/2025","57,59","52,81","57,59","52,81","6,20K","4,71%",
"20/11/2025","55,00","52,75","55,40","52,75","4,19K","1,85%",
