Date,Cours,Ouv.,Plus haut,Plus bas,Var. %,
"20/02/2026","1.445,24","1.449,89","1.452,97","1.437,29","-0,32%",
"19/02/2026","1.449,89","1.446,66","1.452,03","1.442,99","0,22%",
"18/02/2026","1.446,66","1.448,67","1.452,95","1.441,50","-0,14%",
"17/02/2026","1.448,67","1.457,09","1.457,09","1.442,62","-0,58%",
"16/02/2026","1.457,09","1.431,63","1.457,09","1.431,63","1,78%",
"13/02/2026","1.431,63","1.440,50","1.446,24","1.431,63","-0,62%",
"12/02/2026","1.440,50","1.419,73","1.440,50","1.419,73","1,46%",
"11/02/2026","1.419,73","1.417,02","1.422,28","1.413,97","0,19%",
"10/02/2026","1.417,02","1.417,87","1.424,89","1.413,98","-0,06%",
"09/02/2026","1.417,87","1.423,18","1.432,06","1.414,51","-0,37%",
"06/02/2026","1.423,18","1.406,32","1.423,18","1.391,26","1,20%",
"05/02/2026","1.406,32","1.427,67","1.433,95","1.405,93","-1,50%",
"04/02/2026","1.427,67","1.430,13","1.441,35","1.425,27","-0,17%",
"03/02/2026","1.430,13","1.440,76","1.447,43","1.429,51","-0,74%",
"02/02/2026","1.440,76","1.443,29","1.451,41","1.428,60","-0,18%",
"30/01/2026","1.443,29","1.464,22","1.465,55","1.443,29","-1,43%",
"29/01/2026","1.464,22","1.468,98","1.478,27","1.462,23","-0,32%",
"28/01/2026","1.468,98","1.446,22","1.469,56","1.445,07","1,57%",
"27/01/2026","1.446,22","1.424,32","1.446,29","1.424,28","1,54%",
"26/01/2026","1.424,32","1.448,25","1.454,34","1.422,06","-1,65%",
"23/01/2026","1.448,25","1.462,77","1.476,39","1.445,83","-0,99%",
"22/01/2026","1.462,77","1.448,06","1.484,91","1.448,06","1,02%",
"21/01/2026","1.448,06","1.468,33","1.476,99","1.448,06","-1,38%",
"20/01/2026","1.468,33","1.479,11","1.488,89","1.462,46","-0,73%",
"19/01/2026","1.479,11","1.499,73","1.504,44","1.478,36","-1,38%",
"16/01/2026","1.499,73","1.499,28","1.508,11","1.495,50","0,03%",
"15/01/2026","1.499,28","1.510,42","1.517,44","1.495,04","-0,74%",
"13/01/2026","1.510,42","1.528,14","1.528,14","1.510,42","-1,16%",
"12/01/2026","1.528,14","1.531,78","1.532,09","1.517,67","-0,24%",
"09/01/2026","1.531,78","1.527,84","1.535,32","1.519,52","0,26%",
"08/01/2026","1.527,84","1.531,62","1.537,65","1.519,47","-0,25%",
"07/01/2026","1.531,62","1.543,21","1.550,08","1.529,06","-0,75%",
"06/01/2026","1.543,21","1.537,72","1.548,30","1.537,72","0,36%",
"05/01/2026","1.537,72","1.516,02","1.537,72","1.514,74","1,43%",
"02/01/2026","1.516,02","1.485,65","1.516,02","1.478,42","2,04%",
"31/12/2025","1.485,65","1.474,87","1.487,69","1.470,97","0,73%",
