Date,Cours,Ouv.,Plus haut,Plus bas,Vol.,Var. %,
"20/02/2026","3.350,00","3.320,00","3.350,00","3.250,00","0,84K","0,45%",
"19/02/2026","3.335,00","3.341,00","3.341,00","3.240,00","2,02K","-0,15%",
"18/02/2026","3.340,00","3.330,00","3.479,00","3.151,00","8,44K","-2,91%",
"17/02/2026","3.440,00","3.649,00","3.668,00","3.372,00","14,24K","2,23%",
"16/02/2026","3.365,00","3.067,00","3.365,00","3.067,00","15,58K","9,97%",
"13/02/2026","3.060,00","2.978,00","3.140,00","2.750,00","29,63K","6,32%",
"12/02/2026","2.878,00","2.630,00","2.878,00","2.630,00","6,02K","9,97%",
"11/02/2026","2.617,00","2.469,00","2.617,00","2.450,00","4,62K","9,96%",
"10/02/2026","2.380,00","2.330,00","2.390,00","2.220,00","9,74K","4,39%",
"09/02/2026","2.280,00","2.200,00","2.308,00","2.200,00","1,70K","8,57%",
"06/02/2026","2.100,00","2.035,00","2.220,00","1.980,00","4,55K","-2,87%",
"05/02/2026","2.162,00","2.330,00","2.331,00","2.161,00","3,78K","-9,92%",
"04/02/2026","2.400,00","2.470,00","2.489,00","2.400,00","3,78K","1,27%",
"03/02/2026","2.370,00","2.356,00","2.499,00","2.356,00","5,75K","2,24%",
"02/02/2026","2.318,00","2.351,00","2.360,00","2.318,00","8,72K","-9,98%",
"30/01/2026","2.575,00","2.711,00","2.714,00","2.575,00","15,54K","-9,97%",
"29/01/2026","2.860,00","2.850,00","2.890,00","2.761,00","4,68K","4,04%",
"28/01/2026","2.749,00","2.790,00","2.877,00","2.702,00","9,90K","5,08%",
"27/01/2026","2.616,00","2.400,00","2.616,00","2.400,00","9,82K","9,96%",
"26/01/2026","2.379,00","2.275,00","2.379,00","2.235,00","12,60K","8,63%",
"23/01/2026","2.190,00","2.215,00","2.280,00","2.170,00","5,70K","0,92%",
"22/01/2026","2.170,00","2.022,00","2.232,00","2.002,00","6,19K","6,90%",
"21/01/2026","2.030,00","1.955,00","2.088,00","1.955,00","2,35K","0,00%",
"20/01/2026","2.030,00","2.002,00","2.129,00","1.950,00","6,13K","1,50%",
"19/01/2026","2.000,00","2.000,00","2.094,00","1.985,00","3,25K","0,96%",
"16/01/2026","1.981,00","2.178,00","2.178,00","1.981,00","5,37K","-9,95%",
"15/01/2026","2.200,00","2.297,00","2.297,00","2.200,00","9,45K","5,31%",
