Date,Cours,Ouv.,Plus haut,Plus bas,Vol.,Var. %,
"20/02/2026","5.080,90","5.015,00","5.131,00","4.999,30","136,74K","1,67%",
"19/02/2026","4.997,40","4.993,70","5.042,80","4.971,50","87,03K","-0,24%",
"18/02/2026","5.009,50","4.898,50","5.031,90","4.868,50","98,20K","2,11%",
"17/02/2026","4.905,90","5.050,00","5.074,40","4.854,20","166,71K","-2,08%",
"16/02/2026","5.010,11","5.038,09","5.050,60","4.985,44","42,20K","-0,57%",
"15/02/2026","5.039,06","5.053,00","5.070,00","5.026,44","0","-0,14%",
"13/02/2026","5.046,30","4.950,00","5.069,10","4.907,10","123,02K","1,98%",
"12/02/2026","4.948,40","5.107,30","5.122,80","4.900,00","161,62K","-2,94%",
"11/02/2026","5.098,50","5.048,00","5.144,50","5.036,30","129,97K","1,34%",
"10/02/2026","5.031,00","5.084,30","5.102,70","5.011,00","105,66K","-0,95%",
"09/02/2026","5.079,40","5.003,60","5.111,10","4.988,60","124,15K","2,00%",
"06/02/2026","4.979,80","4.800,00","4.995,60","4.670,00","177,81K","1,85%",
"05/02/2026","4.889,50","4.986,60","5.045,00","4.779,60","234,59K","-1,24%",
"04/02/2026","4.950,80","4.966,10","5.113,90","4.867,70","245,96K","0,32%",
"03/02/2026","4.935,00","4.691,00","5.018,10","4.690,20","260,11K","6,07%",
"02/02/2026","4.652,60","4.816,00","4.905,60","4.423,20","385,98K","-1,95%",
"30/01/2026","4.745,10","5.410,00","5.480,20","4.700,40","508,00K","-11,39%",
"29/01/2026","5.354,80","5.449,90","5.626,80","5.126,00","570,06K","0,64%",
"28/01/2026","5.321,00","5.198,00","5.433,50","5.175,00","10,33K","4,30%",
"27/01/2026","5.101,40","5.038,30","5.209,50","5.031,00","6,64K","-0,02%",
"26/01/2026","5.102,40","5.028,40","5.124,30","5.005,00","7,98K","1,70%",
"23/01/2026","5.017,00","4.977,80","5.028,30","4.937,70","83,40K","1,37%",
"22/01/2026","4.949,40","4.871,00","4.980,10","4.807,90","68,88K","1,57%",
"21/01/2026","4.873,10","4.804,90","4.925,10","4.793,30","77,33K","1,51%",
"20/01/2026","4.800,80","4.661,00","4.806,00","4.659,50","56,62K","2,78%",
"19/01/2026","4.671,15","4.680,71","4.688,50","4.660,29","145,60K","-0,20%",
"18/01/2026","4.680,64","4.635,80","4.697,71","4.624,80","0","1,85%",
"16/01/2026","4.595,40","4.621,60","4.625,50","4.539,10","246,16K","-0,61%",
"15/01/2026","4.623,70","4.635,70","4.637,20","4.584,00","226,48K","-0,26%",
"14/01/2026","4.635,70","4.594,30","4.650,50","4.594,30","306,30K","0,80%",
"13/01/2026","4.599,10","4.610,00","4.644,00","4.576,70","267,45K","-0,34%",
"12/01/2026","4.614,70","4.529,10","4.640,50","4.520,80","307,99K","2,53%",
"09/01/2026","4.500,90","4.489,30","4.527,00","4.461,80","217,95K","0,90%",
"08/01/2026","4.460,70","4.467,10","4.489,30","4.415,00","208,96K","-0,04%",
"07/01/2026","4.462,50","4.505,40","4.512,40","4.432,90","202,78K","-0,75%",
"06/01/2026","4.496,10","4.459,80","4.508,30","4.437,90","176,58K","1,00%",
"05/01/2026","4.451,50","4.368,30","4.467,60","4.354,60","211,71K","2,82%",
"02/01/2026","4.329,60","4.340,00","4.414,80","4.319,70","154,81K","-0,73%",
"01/01/2026","4.361,55","4.332,10","4.364,45","4.332,10","149,56K","-0,56%",
"30/12/2025","4.386,30","4.350,30","4.420,50","4.338,80","161,78K","1,37%",
"29/12/2025","4.327,00","4.549,80","4.557,20","4.308,10","186,08K","-4,43%",
"25/12/2025","4.527,50","4.505,40","4.539,65","4.505,30","179,20K","0,48%",
"23/12/2025","4.505,70","4.481,80","4.530,80","4.457,70","150,13K","0,81%",
"22/12/2025","4.469,40","4.369,90","4.484,50","4.367,90","248,42K","2,40%",
"18/12/2025","4.364,50","4.371,50","4.409,50","4.338,00","165,21K","-0,21%",
"17/12/2025","4.373,90","4.333,50","4.383,60","4.330,70","234,46K","0,96%",
"16/12/2025","4.332,30","4.334,30","4.367,90","4.297,40","212,41K","-0,07%",
"15/12/2025","4.335,20","4.330,00","4.384,30","4.315,90","212,28K","0,51%",
"11/12/2025","4.313,00","4.258,30","4.317,30","4.231,20","292,18K","2,09%",
"10/12/2025","4.224,70","4.237,50","4.268,80","4.207,80","228,28K","-0,27%",
"09/12/2025","4.236,20","4.219,60","4.251,70","4.197,80","186,18K","0,44%",
"08/12/2025","4.217,70","4.228,10","4.247,90","4.204,00","177,37K","-0,60%",
"04/12/2025","4.243,00","4.234,50","4.251,10","4.203,30","193,60K","0,25%",
"03/12/2025","4.232,50","4.241,60","4.273,30","4.225,10","161,25K","0,28%",
"02/12/2025","4.220,80","4.265,30","4.269,20","4.194,00","176,44K","-1,26%",
"01/12/2025","4.274,80","4.258,50","4.299,60","4.241,10","215,92K","1,73%",
"26/11/2025","4.202,30","4.167,00","4.209,00","4.163,60","154,81K","1,02%",
"25/11/2025","4.159,80","4.153,60","4.176,40","4.125,60","187,97K","1,14%",
"24/11/2025","4.113,10","4.087,30","4.157,00","4.056,00","132,70K","0,42%",
"20/11/2025","4.095,70","4.118,90","4.145,00","4.069,80","257,81K","-0,55%",
"19/11/2025","4.118,20","4.104,20","4.169,60","4.090,80","272,36K","0,40%",
"18/11/2025","4.101,70","4.083,90","4.118,70","4.032,80","233,70K","-0,20%",
"17/11/2025","4.109,80","4.122,70","4.142,70","4.042,30","233,30K","-2,02%",
"13/11/2025","4.194,50","4.202,40","4.250,00","4.148,50","342,18K","-0,45%",
"12/11/2025","4.213,60","4.132,20","4.218,50","4.104,40","319,22K","2,36%",
"11/11/2025","4.116,30","4.124,00","4.155,00","4.102,80","296,80K","-0,14%",
"10/11/2025","4.122,00","4.007,20","4.124,00","4.004,20","252,25K","3,28%",
"06/11/2025","3.991,00","3.992,40","4.028,70","3.973,20","208,65K","-0,05%",
"05/11/2025","3.992,90","3.939,50","4.000,70","3.935,70","188,69K","0,82%",
"04/11/2025","3.960,50","4.013,70","4.018,00","3.937,10","175,16K","-1,33%",
"03/11/2025","4.014,00","4.001,00","4.043,10","3.971,30","250,26K","-0,05%",
"30/10/2025","4.015,90","3.942,80","4.041,50","3.925,10","237,17K","0,75%",
"29/10/2025","3.986,20","3.930,90","4.030,00","3.926,50","246,32K","0,44%",
"28/10/2025","3.968,70","3.985,10","4.015,00","3.890,70","288,27K","-0,92%",
"27/10/2025","4.005,50","4.066,30","4.101,60","3.973,00","338,43K","-3,38%",
"23/10/2025","4.145,60","4.114,80","4.171,50","4.079,60","297,60K","1,97%",
"22/10/2025","4.065,40","4.137,00","4.175,00","4.021,20","271,97K","-1,06%",
"21/10/2025","4.109,10","4.371,00","4.393,60","4.093,00","468,71K","-5,74%",
"20/10/2025","4.359,40","4.269,00","4.398,00","4.229,70","535,33K","1,27%",
"16/10/2025","4.304,60","4.225,10","4.346,70","4.214,50","569,85K","2,45%",
"15/10/2025","4.201,60","4.160,10","4.235,80","4.157,30","375,20K","0,92%",
"14/10/2025","4.163,40","4.130,90","4.190,90","4.105,00","309,91K","0,74%",
"13/10/2025","4.133,00","4.018,30","4.137,20","4.011,30","405,99K","4,04%",
"09/10/2025","3.972,60","4.061,80","4.077,90","3.957,90","357,54K","-2,41%",
"08/10/2025","4.070,50","4.007,10","4.081,00","4.005,60","461,02K","1,65%",
"07/10/2025","4.004,40","3.983,00","4.014,60","3.963,40","348,78K","0,71%",
"06/10/2025","3.976,30","3.913,50","3.994,50","3.909,20","297,51K","2,80%",
"02/10/2025","3.868,10","3.892,70","3.923,30","3.842,80","218,28K","-0,75%",
"01/10/2025","3.897,50","3.887,70","3.922,70","3.880,30","284,22K","0,63%",
"30/09/2025","3.873,20","3.863,10","3.899,20","3.820,60","290,47K","0,47%",
"29/09/2025","3.855,20","3.788,80","3.863,70","3.785,50","312,26K","2,63%",
"25/09/2025","3.756,50","3.758,00","3.775,90","3.739,00","214,08K","0,08%",
"24/09/2025","3.753,40","3.784,30","3.798,50","3.735,70","262,18K","-1,27%",
"23/09/2025","3.801,80","3.767,30","3.808,00","3.759,30","236,56K","1,07%",
"22/09/2025","3.761,60","3.707,50","3.769,00","3.705,00","291,56K","2,26%",
"18/09/2025","3.678,30","3.692,50","3.707,30","3.660,50","186,95K","-1,06%",
"17/09/2025","3.717,80","3.727,30","3.744,00","3.679,50","224,13K","-0,20%",
"16/09/2025","3.725,10","3.720,30","3.739,90","3.711,80","256,05K","0,16%",
"15/09/2025","3.719,00","3.680,20","3.724,90","3.662,80","192,30K","1,24%",
"11/09/2025","3.673,60","3.680,60","3.687,50","3.651,00","154,56K","-0,23%",
"10/09/2025","3.682,00","3.662,00","3.697,50","3.651,40","214,61K","-0,01%",
"09/09/2025","3.682,20","3.676,60","3.715,20","3.663,70","182,03K","0,13%",
"08/09/2025","3.677,40","3.635,00","3.685,70","3.621,70","262,66K","1,96%",
"04/09/2025","3.606,70","3.619,80","3.621,60","3.573,70","237,65K","-0,79%",
"03/09/2025","3.635,50","3.600,00","3.640,10","3.592,40","232,58K","1,21%",
"02/09/2025","3.592,20","3.517,90","3.602,40","3.506,00","220,79K","2,28%",
"31/08/2025","3.512,00","3.517,65","3.517,65","3.509,70","374,14K","1,09%",
"28/08/2025","3.474,30","3.452,60","3.478,70","3.442,50","188,55K","1,12%",
"27/08/2025","3.435,70","3.428,10","3.436,00","3.410,70","156,60K","0,46%",
"26/08/2025","3.420,10","3.398,10","3.427,00","3.398,10","153,81K","0,45%",
"25/08/2025","3.404,90","3.399,70","3.407,20","3.395,00","176,30K","0,69%",
"21/08/2025","3.381,60","3.392,20","3.394,40","3.367,40","186,04K","-0,20%",
"20/08/2025","3.388,50","3.359,00","3.394,30","3.353,40","123,50K","0,89%",
