Date,Cours,Ouv.,Plus haut,Plus bas,Vol.,Var. %,
"20/02/2026","89,02","90,00","91,50","89,00","18,67K","-0,35%",
"19/02/2026","89,33","93,00","94,00","89,01","16,55K","-3,64%",
"18/02/2026","92,70","90,16","98,00","90,16","27,04K","0,76%",
"17/02/2026","92,00","92,90","93,00","91,60","1,64K","-0,54%",
"16/02/2026","92,50","91,00","93,30","90,00","13,54K","2,61%",
"13/02/2026","90,15","93,00","93,00","90,00","10,82K","-1,90%",
"12/02/2026","91,90","87,50","92,50","87,01","11,90K","2,69%",
"11/02/2026","89,49","90,01","90,80","88,20","6,85K","-1,53%",
"10/02/2026","90,88","93,00","93,00","90,03","3,58K","-0,78%",
"09/02/2026","91,59","94,50","94,50","90,00","7,92K","-1,09%",
"06/02/2026","92,60","90,00","93,00","85,50","27,31K","3,29%",
"05/02/2026","89,65","92,49","92,49","84,00","28,64K","-2,55%",
"04/02/2026","92,00","92,00","93,50","90,56","3,05K","-0,90%",
"03/02/2026","92,84","92,50","94,00","91,65","4,40K","1,02%",
"02/02/2026","91,90","93,50","94,00","90,50","16,39K","-1,66%",
"30/01/2026","93,45","96,00","96,00","91,00","17,36K","-2,66%",
"29/01/2026","96,00","99,05","102,90","95,01","58,15K","1,80%",
"28/01/2026","94,30","88,50","94,30","85,70","25,11K","10,00%",
"27/01/2026","85,73","85,00","89,00","85,00","25,25K","0,86%",
"26/01/2026","85,00","90,17","91,99","84,00","45,45K","-5,73%",
"23/01/2026","90,17","94,50","94,50","89,50","24,89K","-1,78%",
"22/01/2026","91,80","93,10","98,00","91,80","17,86K","-1,29%",
"21/01/2026","93,00","93,45","94,98","92,25","8,96K","-0,32%",
"20/01/2026","93,30","92,50","94,90","91,00","27,38K","-1,89%",
"19/01/2026","95,10","95,00","96,00","92,15","16,65K","-1,57%",
"16/01/2026","96,62","96,00","97,50","94,00","19,57K","0,12%",
"15/01/2026","96,50","99,49","99,50","96,30","15,28K","-1,54%",
"13/01/2026","98,01","101,00","101,50","98,01","39,44K","-4,38%",
"12/01/2026","102,50","102,95","104,50","100,10","16,34K","0,49%",
"09/01/2026","102,00","101,75","102,00","99,00","33,40K","2,01%",
"08/01/2026","99,99","102,60","103,50","99,70","23,21K","-1,97%",
"07/01/2026","102,00","106,00","108,85","102,00","31,28K","-2,95%",
"06/01/2026","105,10","112,00","113,00","105,10","51,92K","-3,09%",
"05/01/2026","108,45","105,00","109,95","104,00","30,81K","6,22%",
"02/01/2026","102,10","95,90","102,10","95,00","36,36K","8,62%",
"31/12/2025","94,00","91,10","96,00","91,10","62,16K","4,10%",
"30/12/2025","90,30","97,00","98,97","90,00","148,48K","-6,23%",
"29/12/2025","96,30","102,50","103,00","96,30","41,35K","-7,40%",
"26/12/2025","104,00","105,95","106,50","103,00","97,38K","-1,89%",
"25/12/2025","106,00","107,50","110,50","105,00","34,65K","-1,40%",
"24/12/2025","107,50","110,00","110,50","107,50","14,52K","-2,93%",
"23/12/2025","110,75","110,90","110,90","109,50","4,20K","0,68%",
"22/12/2025","110,00","113,00","113,00","109,00","16,85K","-1,26%",
"19/12/2025","111,40","112,00","114,60","111,40","18,42K","-2,96%",
"18/12/2025","114,80","114,00","116,00","111,50","20,26K","1,59%",
"17/12/2025","113,00","114,00","115,00","112,90","4,03K","0,09%",
"16/12/2025","112,90","116,00","118,90","112,90","28,49K","-1,83%",
"15/12/2025","115,00","115,00","116,00","111,70","38,11K","0,88%",
"12/12/2025","114,00","112,30","116,80","112,00","47,96K","2,20%",
"11/12/2025","111,55","112,00","113,90","111,50","4,47K","-0,53%",
"10/12/2025","112,15","113,00","114,20","112,10","1,99K","-0,75%",
"09/12/2025","113,00","114,80","114,80","113,00","0,94K","-0,88%",
"08/12/2025","114,00","112,10","114,75","112,00","5,15K","1,79%",
"05/12/2025","112,00","111,15","114,80","111,05","7,92K","0,76%",
"04/12/2025","111,15","114,00","114,00","111,00","11,21K","-1,64%",
"03/12/2025","113,00","115,50","115,50","113,00","9,45K","0,00%",
"02/12/2025","113,00","114,80","116,50","112,30","10,10K","-0,70%",
"01/12/2025","113,80","118,00","119,00","113,00","20,57K","-1,04%",
"28/11/2025","115,00","117,15","119,90","114,00","24,88K","-2,67%",
"27/11/2025","118,15","115,80","119,00","113,00","11,07K","3,69%",
"26/11/2025","113,95","111,85","114,75","111,85","6,71K","1,88%",
"25/11/2025","111,85","114,00","114,50","111,50","5,79K","-1,89%",
"24/11/2025","114,00","115,00","116,85","113,30","5,41K","-0,44%",
"21/11/2025","114,50","113,00","116,90","113,00","9,09K","0,57%",
"20/11/2025","113,85","112,90","115,00","112,00","5,83K","3,22%",
"19/11/2025","110,30","113,90","114,00","108,30","29,07K","-4,91%",
"17/11/2025","116,00","118,00","118,00","115,00","10,50K","-1,69%",
"14/11/2025","118,00","118,00","119,80","117,20","6,69K","-0,72%",
"13/11/2025","118,85","119,80","119,80","116,50","6,54K","0,25%",
"12/11/2025","118,55","121,00","121,00","118,55","18,09K","-2,02%",
"11/11/2025","121,00","123,00","123,90","119,00","47,77K","-2,02%",
"10/11/2025","123,50","123,00","124,90","123,00","6,86K","-0,08%",
"07/11/2025","123,60","125,90","125,95","123,00","10,55K","0,04%",
"05/11/2025","123,55","125,00","126,00","123,55","18,39K","-1,94%",
"04/11/2025","126,00","126,00","127,95","125,50","22,32K","0,08%",
"03/11/2025","125,90","130,00","130,00","125,90","54,52K","2,36%",
"31/10/2025","123,00","125,00","129,00","123,00","81,50K","-2,34%",
"30/10/2025","125,95","126,00","127,50","125,00","17,77K","0,76%",
"29/10/2025","125,00","126,20","127,90","125,00","69,48K","-1,38%",
"28/10/2025","126,75","129,90","130,00","126,75","137,02K","-1,74%",
"27/10/2025","129,00","131,00","131,40","128,50","69,40K","-0,77%",
"24/10/2025","130,00","129,35","132,00","129,25","12,73K","0,00%",
"23/10/2025","130,00","132,80","132,80","130,00","27,04K","-1,96%",
"22/10/2025","132,60","134,00","137,00","132,60","43,33K","-0,67%",
"21/10/2025","133,50","131,00","133,50","129,10","57,50K","2,69%",
"20/10/2025","130,00","129,00","131,50","127,15","50,13K","2,16%",
"17/10/2025","127,25","127,75","129,00","127,00","21,74K","-0,55%",
"16/10/2025","127,95","124,00","128,90","122,15","24,84K","3,23%",
"15/10/2025","123,95","118,50","124,00","118,20","33,46K","1,60%",
"14/10/2025","122,00","128,20","129,80","121,00","33,29K","-4,80%",
"13/10/2025","128,15","130,00","130,00","128,00","9,85K","-2,14%",
"10/10/2025","130,95","130,50","130,95","127,00","27,19K","1,12%",
"09/10/2025","129,50","130,50","130,50","128,50","6,67K","0,70%",
"08/10/2025","128,60","133,20","134,80","126,50","57,91K","-4,74%",
"07/10/2025","135,00","133,60","138,00","133,60","120,41K","3,05%",
"06/10/2025","131,00","125,30","131,50","125,30","146,03K","5,65%",
"03/10/2025","124,00","117,00","124,00","117,00","45,32K","9,73%",
"02/10/2025","113,00","114,00","119,90","107,00","88,85K","-4,72%",
"01/10/2025","118,60","120,05","121,10","118,50","19,96K","-4,35%",
"30/09/2025","124,00","122,05","124,60","114,20","101,02K","0,40%",
"29/09/2025","123,50","122,00","126,25","121,00","29,32K","1,23%",
"26/09/2025","122,00","125,00","125,00","120,40","21,91K","-2,59%",
"25/09/2025","125,25","125,00","126,75","124,60","4,74K","-1,18%",
"24/09/2025","126,75","128,00","128,00","125,10","6,33K","-0,20%",
"23/09/2025","127,00","126,45","129,00","125,00","36,40K","1,20%",
"22/09/2025","125,50","128,55","129,00","121,60","99,73K","-2,56%",
"19/09/2025","128,80","130,00","130,00","127,40","39,68K","-1,00%",
"18/09/2025","130,10","131,30","132,90","126,40","37,36K","0,08%",
"17/09/2025","130,00","131,15","132,90","127,10","49,79K","-1,03%",
"16/09/2025","131,35","134,90","134,90","130,70","29,37K","0,54%",
"15/09/2025","130,65","135,50","136,30","130,65","57,01K","-2,61%",
"12/09/2025","134,15","136,10","136,85","134,15","73,08K","0,04%",
"11/09/2025","134,10","132,80","140,00","132,80","215,63K","2,84%",
"10/09/2025","130,40","129,00","132,00","128,10","38,15K","5,16%",
"09/09/2025","124,00","133,00","133,80","123,20","160,97K","-5,70%",
"08/09/2025","131,50","133,00","133,90","130,00","84,09K","0,80%",
"04/09/2025","130,45","132,00","134,50","129,50","134,76K","-0,42%",
"03/09/2025","131,00","130,00","132,00","125,50","216,40K","1,99%",
"02/09/2025","128,45","120,00","129,50","120,00","251,45K","7,18%",
"01/09/2025","119,85","112,45","119,85","104,00","297,12K","9,95%",
"29/08/2025","109,00","112,90","112,90","107,50","91,86K","-4,34%",
"28/08/2025","113,95","114,35","118,00","110,60","160,76K","-0,35%",
"27/08/2025","114,35","104,00","114,35","103,90","260,83K","9,95%",
"26/08/2025","104,00","100,95","106,00","99,20","84,70K","2,97%",
"25/08/2025","101,00","103,20","103,90","99,70","41,85K","0,50%",
"22/08/2025","100,50","98,61","106,50","97,00","141,48K","1,95%",
"19/08/2025","98,58","100,20","101,00","98,40","30,65K","-3,35%",
"18/08/2025","102,00","105,00","105,00","99,00","47,07K","-2,02%",
"15/08/2025","104,10","105,00","107,85","103,50","80,10K","-0,62%",
"13/08/2025","104,75","104,15","105,50","103,60","38,27K","0,82%",
"12/08/2025","103,90","104,35","107,00","102,60","33,16K","-0,72%",
"11/08/2025","104,65","109,70","109,70","103,10","100,07K","-3,55%",
"08/08/2025","108,50","108,05","114,70","104,10","207,40K","-0,46%",
"07/08/2025","109,00","112,00","112,40","107,55","236,58K","6,65%",
"06/08/2025","102,20","92,91","102,20","92,55","171,13K","10,00%",
"05/08/2025","92,91","98,84","99,00","91,70","283,77K","1,72%",
"04/08/2025","91,34","88,48","91,34","87,25","102,39K","10,00%",
"01/08/2025","83,04","79,00","83,04","77,00","236,23K","9,99%",
"31/07/2025","75,50","69,13","75,84","69,11","250,65K","9,39%",
"29/07/2025","69,02","70,00","71,00","69,00","42,35K","-0,48%",
"28/07/2025","69,35","67,10","72,40","66,60","78,39K","4,29%",
"25/07/2025","66,50","66,95","66,95","65,30","16,33K","0,06%",
"24/07/2025","66,46","66,99","67,88","64,96","12,85K","-0,05%",
"23/07/2025","66,49","68,00","68,60","64,60","19,05K","-2,00%",
"22/07/2025","67,85","67,28","68,65","67,28","35,33K","0,85%",
"21/07/2025","67,28","63,40","68,00","63,22","26,91K","6,62%",
"18/07/2025","63,10","63,10","63,95","62,10","12,65K","3,43%",
"17/07/2025","61,01","64,00","64,00","61,01","20,21K","-3,36%",
"16/07/2025","63,13","64,10","64,10","63,10","10,22K","-1,67%",
"15/07/2025","64,20","66,00","66,00","64,20","20,04K","-1,23%",
"14/07/2025","65,00","66,20","66,50","65,00","25,11K","-2,99%",
"11/07/2025","67,00","68,00","68,98","67,00","30,98K","-0,15%",
"10/07/2025","67,10","69,89","70,25","67,10","53,25K","-3,03%",
"09/07/2025","69,20","70,80","71,50","68,95","63,30K","1,76%",
"08/07/2025","68,00","66,34","69,89","66,00","69,15K","2,43%",
"07/07/2025","66,39","65,00","67,90","65,00","32,95K","2,14%",
"04/07/2025","65,00","67,00","68,19","64,11","57,01K","-3,27%",
"03/07/2025","67,20","72,00","73,64","64,10","535,62K","0,34%",
"02/07/2025","66,97","60,72","66,97","59,60","154,56K","9,99%",
"01/07/2025","60,89","61,00","61,93","60,00","43,82K","1,18%",
"30/06/2025","60,18","60,99","61,90","60,01","50,92K","-1,34%",
"26/06/2025","61,00","61,00","61,96","60,30","44,60K","1,06%",
"25/06/2025","60,36","60,61","61,49","59,30","73,36K","-0,87%",
"24/06/2025","60,89","61,44","61,44","60,00","37,95K","3,26%",
"23/06/2025","58,97","59,50","59,50","55,60","23,89K","1,39%",
"20/06/2025","58,16","59,46","60,99","58,11","39,99K","1,66%",
"19/06/2025","57,21","59,60","59,60","57,00","40,33K","-4,01%",
"18/06/2025","59,60","62,21","64,50","59,01","88,76K","-4,61%",
"17/06/2025","62,48","59,90","62,49","59,90","66,57K","5,08%",
