Date,Cours,Ouv.,Plus haut,Plus bas,Vol.,Var. %,
"20/02/2026","1.890,00","1.989,00","1.990,00","1.890,00","1,57K","-4,55%",
"19/02/2026","1.980,00","1.999,00","1.999,00","1.973,00","0,11K","0,00%",
"18/02/2026","1.980,00","2.000,00","2.000,00","1.960,00","0,16K","0,00%",
"17/02/2026","1.980,00","2.016,00","2.020,00","1.980,00","1,80K","-1,10%",
"16/02/2026","2.002,00","2.023,00","2.024,00","1.955,00","1,01K","2,67%",
"13/02/2026","1.950,00","2.020,00","2.020,00","1.950,00","2,25K","-1,52%",
"12/02/2026","1.980,00","2.045,00","2.045,00","1.980,00","8,21K","0,46%",
"11/02/2026","1.971,00","2.015,00","2.059,00","1.971,00","0,71K","-1,45%",
"10/02/2026","2.000,00","2.020,00","2.026,00","1.960,00","0,68K","-0,45%",
"09/02/2026","2.009,00","1.999,00","2.009,00","1.955,00","0,37K","3,29%",
"06/02/2026","1.945,00","2.000,00","2.000,00","1.920,00","2,31K","-2,75%",
"05/02/2026","2.000,00","2.015,00","2.070,00","1.900,00","2,37K","-1,67%",
"04/02/2026","2.034,00","2.075,00","2.080,00","2.034,00","0,12K","-2,21%",
"03/02/2026","2.080,00","2.050,00","2.080,00","2.030,00","0,09K","1,46%",
"02/02/2026","2.050,00","2.065,00","2.095,00","2.050,00","10,76K","-1,87%",
"30/01/2026","2.089,00","2.129,00","2.129,00","2.080,00","4,04K","-0,76%",
"29/01/2026","2.105,00","2.086,00","2.150,00","2.060,00","12,07K","0,24%",
"28/01/2026","2.100,00","2.050,00","2.100,00","2.050,00","36,95K","0,53%",
"27/01/2026","2.089,00","2.060,00","2.089,00","2.027,00","0,21K","3,11%",
"26/01/2026","2.026,00","2.100,00","2.100,00","2.025,00","0,56K","-3,02%",
"23/01/2026","2.089,00","2.149,00","2.149,00","2.087,00","6,83K","-0,52%",
"22/01/2026","2.100,00","2.087,00","2.169,00","2.087,00","0,40K","0,00%",
"21/01/2026","2.100,00","2.130,00","2.145,00","2.100,00","0,58K","-1,41%",
"20/01/2026","2.130,00","2.178,00","2.178,00","2.130,00","1,22K","-0,93%",
"19/01/2026","2.150,00","2.180,00","2.189,00","2.150,00","0,26K","-1,33%",
"16/01/2026","2.179,00","2.216,00","2.216,00","2.175,00","1,12K","-0,68%",
"15/01/2026","2.194,00","2.189,00","2.209,00","2.170,00","0,88K","0,23%",
"13/01/2026","2.189,00","2.229,00","2.229,00","2.189,00","0,22K","-0,50%",
"12/01/2026","2.200,00","2.190,00","2.200,00","2.158,00","0,34K","0,50%",
"09/01/2026","2.189,00","2.191,00","2.199,00","2.180,00","7,82K","-0,09%",
"08/01/2026","2.191,00","2.200,00","2.200,00","2.180,00","3,30K","0,05%",
"07/01/2026","2.190,00","2.200,00","2.201,00","2.190,00","5,15K","-0,45%",
"06/01/2026","2.200,00","2.245,00","2.245,00","2.195,00","0,59K","0,00%",
"05/01/2026","2.200,00","2.269,00","2.269,00","2.199,00","0,73K","2,09%",
"02/01/2026","2.155,00","2.146,00","2.175,00","2.140,00","8,01K","1,65%",
"31/12/2025","2.120,00","2.195,00","2.220,00","2.120,00","5,81K","-2,75%",
"30/12/2025","2.180,00","2.180,00","2.200,00","2.150,00","52,14K","-0,82%",
"29/12/2025","2.198,00","2.199,00","2.247,00","2.131,00","2,77K","-0,09%",
"26/12/2025","2.200,00","2.246,00","2.246,00","2.150,00","8,14K","0,46%",
"25/12/2025","2.190,00","2.215,00","2.259,00","2.190,00","6,83K","-0,45%",
"24/12/2025","2.200,00","2.233,00","2.260,00","2.200,00","1,55K","-1,79%",
"23/12/2025","2.240,00","2.287,00","2.287,00","2.240,00","0,32K","-0,44%",
"22/12/2025","2.250,00","2.314,00","2.314,00","2.250,00","4,76K","0,00%",
"19/12/2025","2.250,00","2.295,00","2.300,00","2.250,00","6,63K","-1,75%",
"18/12/2025","2.290,00","2.293,00","2.293,00","2.250,00","0,45K","1,78%",
"17/12/2025","2.250,00","2.294,00","2.294,00","2.250,00","0,29K","-1,66%",
"16/12/2025","2.288,00","2.276,00","2.300,00","2.232,00","40,43K","4,00%",
"15/12/2025","2.200,00","2.350,00","2.374,00","2.200,00","3,46K","-6,14%",
"12/12/2025","2.344,00","2.384,00","2.384,00","2.300,00","2,33K","1,96%",
"11/12/2025","2.299,00","2.300,00","2.320,00","2.299,00","2,18K","-4,21%",
"10/12/2025","2.400,00","2.300,00","2.400,00","2.260,00","1,51K","5,73%",
"09/12/2025","2.270,00","2.340,00","2.340,00","2.270,00","1,28K","-3,40%",
"08/12/2025","2.350,00","2.359,00","2.359,00","2.300,00","0,26K","4,44%",
"05/12/2025","2.250,00","2.209,00","2.400,00","2.209,00","0,92K","0,00%",
"04/12/2025","2.250,00","2.300,00","2.300,00","2.250,00","0,33K","-2,17%",
"03/12/2025","2.300,00","2.296,00","2.300,00","2.200,00","0,36K","2,22%",
"02/12/2025","2.250,00","2.269,00","2.269,00","2.190,00","0,24K","0,45%",
"01/12/2025","2.240,00","2.277,00","2.277,00","2.202,00","2,24K","-1,62%",
"28/11/2025","2.277,00","2.240,00","2.277,00","2.180,00","4,27K","3,55%",
"27/11/2025","2.199,00","2.200,00","2.200,00","2.175,00","0,37K","0,87%",
"26/11/2025","2.180,00","2.150,00","2.200,00","2.150,00","0,08K","1,40%",
"25/11/2025","2.150,00","2.150,00","2.247,00","2.146,00","1,69K","0,23%",
"24/11/2025","2.145,00","2.221,00","2.265,00","2.145,00","4,02K","-5,05%",
"21/11/2025","2.259,00","2.255,00","2.259,00","2.240,00","0,02K","0,85%",
"20/11/2025","2.240,00","2.210,00","2.244,00","2.210,00","0,42K","1,59%",
"19/11/2025","2.205,00","2.329,00","2.329,00","2.200,00","1,17K","-3,75%",
"17/11/2025","2.291,00","2.374,00","2.374,00","2.290,00","0,07K","0,44%",
"14/11/2025","2.281,00","2.300,00","2.374,00","2.281,00","1,07K","-0,83%",
"13/11/2025","2.300,00","2.420,00","2.450,00","2.300,00","0,92K","0,00%",
"12/11/2025","2.300,00","2.300,00","2.350,00","2.300,00","0,93K","0,00%",
"11/11/2025","2.300,00","2.399,00","2.400,00","2.300,00","3,36K","-3,16%",
"10/11/2025","2.375,00","2.350,00","2.398,00","2.350,00","0,21K","1,06%",
"07/11/2025","2.350,00","2.390,00","2.469,00","2.350,00","2,16K","-1,26%",
"05/11/2025","2.380,00","2.405,00","2.420,00","2.380,00","0,72K","-1,69%",
"04/11/2025","2.421,00","2.480,00","2.480,00","2.421,00","0,55K","-2,38%",
"03/11/2025","2.480,00","2.594,00","2.594,00","2.475,00","4,45K","1,27%",
"31/10/2025","2.449,00","2.489,00","2.600,00","2.449,00","5,34K","-0,04%",
"30/10/2025","2.450,00","2.495,00","2.495,00","2.450,00","4,48K","0,04%",
"29/10/2025","2.449,00","2.489,00","2.490,00","2.449,00","1,61K","-0,04%",
"28/10/2025","2.450,00","2.450,00","2.460,00","2.421,00","2,07K","1,24%",
"27/10/2025","2.420,00","2.498,00","2.498,00","2.420,00","2,41K","-3,01%",
"24/10/2025","2.495,00","2.470,00","2.495,00","2.451,00","0,89K","0,69%",
"23/10/2025","2.478,00","2.450,00","2.479,00","2.450,00","0,36K","-0,84%",
"22/10/2025","2.499,00","2.500,00","2.550,00","2.499,00","1,05K","1,17%",
"21/10/2025","2.470,00","2.400,00","2.470,00","2.375,00","6,38K","2,92%",
"20/10/2025","2.400,00","2.398,00","2.400,00","2.390,00","0,12K","3,94%",
"17/10/2025","2.309,00","2.389,00","2.389,00","2.309,00","3,06K","-1,32%",
"16/10/2025","2.340,00","2.399,00","2.400,00","2.340,00","0,06K","0,00%",
"15/10/2025","2.340,00","2.399,00","2.399,00","2.280,00","0,39K","1,74%",
"14/10/2025","2.300,00","2.410,00","2.410,00","2.300,00","0,59K","-4,17%",
"13/10/2025","2.400,00","2.400,00","2.401,00","2.355,00","0,22K","0,00%",
"10/10/2025","2.400,00","2.450,00","2.450,00","2.391,00","1,54K","-1,96%",
"09/10/2025","2.448,00","2.450,00","2.459,00","2.430,00","0,73K","-0,08%",
"08/10/2025","2.450,00","2.450,00","2.451,00","2.440,00","0,23K","0,00%",
"07/10/2025","2.450,00","2.430,00","2.450,00","2.410,00","0,69K","1,03%",
"06/10/2025","2.425,00","2.490,00","2.498,00","2.405,00","5,19K","1,04%",
"03/10/2025","2.400,00","2.344,00","2.470,00","2.343,00","15,08K","6,67%",
"02/10/2025","2.250,00","2.251,00","2.344,00","2.200,00","5,13K","0,00%",
"01/10/2025","2.250,00","2.350,00","2.350,00","2.250,00","2,68K","-4,26%",
"30/09/2025","2.350,00","2.420,00","2.420,00","2.321,00","9,79K","-2,89%",
"29/09/2025","2.420,00","2.520,00","2.520,00","2.420,00","2,83K","-3,20%",
"26/09/2025","2.500,00","2.560,00","2.568,00","2.500,00","11,34K","-3,10%",
"25/09/2025","2.580,00","2.600,00","2.676,00","2.580,00","1,77K","-2,64%",
"24/09/2025","2.650,00","2.641,00","2.650,00","2.560,00","3,44K","-0,93%",
"23/09/2025","2.675,00","2.670,00","2.680,00","2.661,00","0,38K","-0,41%",
"22/09/2025","2.686,00","2.681,00","2.689,00","2.661,00","0,07K","-0,44%",
"19/09/2025","2.698,00","2.675,00","2.699,00","2.652,00","2,51K","-0,07%",
"18/09/2025","2.700,00","2.702,00","2.749,00","2.650,00","2,01K","-0,74%",
"17/09/2025","2.720,00","2.721,00","2.799,00","2.720,00","0,22K","-2,82%",
"16/09/2025","2.799,00","2.700,00","2.799,00","2.700,00","1,38K","1,78%",
"15/09/2025","2.750,00","2.805,00","2.849,00","2.750,00","1,62K","-1,96%",
"12/09/2025","2.805,00","2.827,00","2.870,00","2.805,00","5,75K","-0,74%",
"11/09/2025","2.826,00","2.860,00","2.860,00","2.826,00","0,12K","0,07%",
"10/09/2025","2.824,00","2.877,00","2.877,00","2.821,00","0,03K","0,79%",
"09/09/2025","2.802,00","2.890,00","2.890,00","2.802,00","0,67K","-3,38%",
"08/09/2025","2.900,00","2.839,00","2.900,00","2.825,00","1,92K","2,11%",
"04/09/2025","2.840,00","2.850,00","2.879,00","2.840,00","6,92K","-0,35%",
"03/09/2025","2.850,00","2.852,00","2.879,00","2.850,00","0,29K","-0,70%",
"02/09/2025","2.870,00","2.853,00","2.890,00","2.851,00","0,80K","-0,69%",
"01/09/2025","2.890,00","2.899,00","2.899,00","2.852,00","1,47K","0,17%",
"29/08/2025","2.885,00","2.899,00","2.899,00","2.830,00","3,09K","-0,45%",
"28/08/2025","2.898,00","2.879,00","2.900,00","2.850,00","39,71K","1,05%",
"27/08/2025","2.868,00","2.860,00","2.900,00","2.850,00","1,30K","0,63%",
"26/08/2025","2.850,00","2.889,00","2.900,00","2.831,00","2,27K","-1,72%",
"25/08/2025","2.900,00","2.883,00","2.947,00","2.883,00","0,74K","-1,69%",
"22/08/2025","2.950,00","2.881,00","2.950,00","2.881,00","2,01K","1,76%",
"19/08/2025","2.899,00","2.899,00","2.899,00","2.880,00","0,46K","-0,03%",
"18/08/2025","2.900,00","2.900,00","2.900,00","2.841,00","1,39K","0,00%",
"15/08/2025","2.900,00","2.840,00","2.900,00","2.835,00","0,58K","2,40%",
"13/08/2025","2.832,00","2.900,00","2.900,00","2.832,00","0,20K","-3,18%",
"12/08/2025","2.925,00","2.810,00","2.925,00","2.810,00","1,25K","2,27%",
"11/08/2025","2.860,00","2.879,00","2.887,00","2.801,00","0,47K","2,14%",
"08/08/2025","2.800,00","2.939,00","2.939,00","2.800,00","5,14K","-2,44%",
"07/08/2025","2.870,00","2.877,00","2.920,00","2.850,00","9,13K","-0,21%",
"06/08/2025","2.876,00","2.910,00","2.910,00","2.875,00","0,72K","-1,34%",
"05/08/2025","2.915,00","2.915,00","2.929,00","2.910,00","1,41K","0,00%",
"04/08/2025","2.915,00","2.977,00","2.977,00","2.910,00","0,69K","-1,79%",
"01/08/2025","2.968,00","2.941,00","2.968,00","2.911,00","1,25K","0,61%",
"31/07/2025","2.950,00","2.970,00","2.976,00","2.940,00","1,70K","-0,51%",
"29/07/2025","2.965,00","2.990,00","2.990,00","2.948,00","1,84K","-0,44%",
"28/07/2025","2.978,00","2.999,00","2.999,00","2.940,00","1,15K","-0,40%",
"25/07/2025","2.990,00","2.999,00","3.000,00","2.990,00","1,27K","-0,30%",
"24/07/2025","2.999,00","3.020,00","3.020,00","2.938,00","3,78K","-0,96%",
"23/07/2025","3.028,00","3.060,00","3.060,00","2.921,00","0,67K","0,93%",
"22/07/2025","3.000,00","3.001,00","3.010,00","2.981,00","0,18K","-2,60%",
