Date,Cours,Ouv.,Plus haut,Plus bas,Var. %,
"20/02/2026","3.377,95","3.347,66","3.390,15","3.335,65","1,10%",
"19/02/2026","3.341,10","3.360,75","3.368,25","3.310,25","-0,98%",
"18/02/2026","3.374,15","3.287,71","3.374,65","3.276,65","2,72%",
"17/02/2026","3.284,85","3.291,21","3.294,55","3.256,05","-0,17%",
"16/02/2026","3.290,55","3.336,55","3.338,60","3.276,45","-1,70%",
"13/02/2026","3.347,35","3.377,11","3.386,25","3.301,00","-0,63%",
"12/02/2026","3.368,45","3.416,25","3.447,25","3.356,50","-1,44%",
"11/02/2026","3.417,55","3.391,81","3.456,25","3.387,10","0,74%",
"10/02/2026","3.392,60","3.372,96","3.397,60","3.352,10","0,25%",
"09/02/2026","3.384,00","3.372,60","3.385,00","3.327,30","0,56%",
"06/02/2026","3.365,05","3.284,35","3.376,95","3.262,70","1,73%",
"05/02/2026","3.307,70","3.323,95","3.327,65","3.273,00","-0,23%",
"04/02/2026","3.315,30","3.334,85","3.360,30","3.302,00","-0,40%",
"03/02/2026","3.328,50","3.337,15","3.372,95","3.280,55","0,22%",
"02/02/2026","3.321,20","3.363,95","3.380,40","3.242,25","-2,13%",
"30/01/2026","3.393,63","3.420,63","3.428,10","3.341,85","-1,11%",
"29/01/2026","3.431,75","3.398,70","3.579,25","3.388,55","1,39%",
"28/01/2026","3.384,60","3.392,85","3.433,15","3.362,60","0,71%",
"27/01/2026","3.360,90","3.346,65","3.361,75","3.303,05","0,19%",
"26/01/2026","3.354,65","3.283,60","3.375,40","3.268,05","2,30%",
"23/01/2026","3.279,25","3.235,30","3.281,90","3.218,05","1,55%",
"22/01/2026","3.229,35","3.180,19","3.229,35","3.177,55","1,94%",
"21/01/2026","3.167,80","3.173,41","3.214,20","3.167,60","-0,35%",
"20/01/2026","3.178,90","3.229,56","3.240,20","3.173,15","-1,57%",
"19/01/2026","3.229,50","3.232,40","3.242,25","3.198,60","0,64%",
"16/01/2026","3.208,95","3.302,65","3.314,60","3.197,30","-3,18%",
"15/01/2026","3.314,20","3.288,05","3.354,05","3.259,25","1,04%",
"14/01/2026","3.279,95","3.216,55","3.284,30","3.209,10","2,11%",
"13/01/2026","3.212,05","3.206,48","3.276,00","3.189,80","0,29%",
"12/01/2026","3.202,80","3.158,05","3.221,60","3.158,05","1,50%",
"09/01/2026","3.155,45","3.131,10","3.165,90","3.126,90","0,69%",
"08/01/2026","3.133,85","3.169,75","3.187,45","3.123,55","-1,30%",
"07/01/2026","3.175,05","3.251,45","3.259,95","3.164,75","-2,29%",
"06/01/2026","3.249,45","3.207,85","3.269,15","3.204,00","1,33%",
"05/01/2026","3.206,85","3.141,70","3.214,75","3.135,70","2,45%",
"02/01/2026","3.130,10","3.123,10","3.144,80","3.118,00","0,27%",
"31/12/2025","3.121,70","3.124,05","3.129,20","3.098,20","-0,33%",
"30/12/2025","3.132,05","3.088,40","3.144,80","3.088,40","1,44%",
"29/12/2025","3.087,48","3.114,10","3.146,00","3.081,48","-0,11%",
"24/12/2025","3.090,80","3.100,26","3.134,75","3.072,55","-0,31%",
"23/12/2025","3.100,30","3.086,25","3.135,75","3.071,15","0,64%",
"22/12/2025","3.080,45","3.081,60","3.099,93","3.065,25","0,07%",
"19/12/2025","3.078,25","3.059,75","3.086,90","3.056,55","0,47%",
"18/12/2025","3.063,90","3.065,65","3.080,75","3.044,95","-0,04%",
"17/12/2025","3.065,20","3.034,91","3.083,85","3.033,50","1,01%",
"16/12/2025","3.034,70","3.091,10","3.097,10","3.033,20","-1,75%",
"15/12/2025","3.088,75","3.131,90","3.161,05","3.088,75","-1,34%",
"12/12/2025","3.130,60","3.186,85","3.208,25","3.114,25","-2,51%",
"11/12/2025","3.211,10","3.090,80","3.215,35","3.080,75","4,20%",
"10/12/2025","3.081,80","3.092,68","3.111,80","3.073,25","-0,34%",
