Date,Cours,Ouv.,Plus haut,Plus bas,Vol.,Var. %,
"20/02/2026","4.165,0","4.170,0","4.170,0","4.150,0","0,02K","-0,12%",
"19/02/2026","4.170,0","4.171,0","4.171,0","4.170,0","0,00K","-1,18%",
"18/02/2026","4.220,0","4.249,0","4.249,0","4.220,0","0,02K","-0,68%",
"17/02/2026","4.249,0","4.250,0","4.250,0","4.249,0","0,02K","-0,02%",
"16/02/2026","4.250,0","4.080,0","4.250,0","4.071,0","0,27K","2,91%",
"13/02/2026","4.130,0","4.169,0","4.170,0","4.075,0","2,07K","-0,96%",
"12/02/2026","4.170,0","4.099,0","4.170,0","4.071,0","0,21K","1,73%",
"10/02/2026","4.099,0","4.099,0","4.099,0","4.099,0","0,19K","0,00%",
"09/02/2026","4.099,0","4.071,0","4.099,0","4.071,0","0,00K","0,00%",
"06/02/2026","4.099,0","4.110,0","4.110,0","4.099,0","0,19K","-0,02%",
"05/02/2026","4.100,0","4.144,0","4.149,0","4.100,0","0,06K","-1,91%",
"04/02/2026","4.180,0","4.100,0","4.180,0","4.100,0","0,01K","2,75%",
"03/02/2026","4.068,0","4.068,0","4.068,0","4.068,0","0,01K","-0,78%",
"02/02/2026","4.100,0","4.076,0","4.105,0","4.025,0","0,49K","0,59%",
"30/01/2026","4.076,0","4.125,0","4.125,0","4.076,0","0,01K","-2,95%",
"29/01/2026","4.200,0","4.101,0","4.200,0","4.100,0","0,02K","1,20%",
"28/01/2026","4.150,0","4.138,0","4.150,0","4.138,0","0,01K","2,22%",
"27/01/2026","4.060,0","4.061,0","4.061,0","4.060,0","0,02K","0,00%",
"26/01/2026","4.060,0","4.065,0","4.065,0","4.060,0","0,02K","-0,98%",
"23/01/2026","4.100,0","4.135,0","4.135,0","4.100,0","0,17K","-0,92%",
"22/01/2026","4.138,0","4.135,0","4.138,0","4.135,0","0,00K","-0,05%",
"21/01/2026","4.140,0","4.140,0","4.140,0","4.068,0","0,02K","0,00%",
"20/01/2026","4.140,0","4.106,0","4.150,0","4.106,0","0,01K","-1,41%",
"19/01/2026","4.199,0","4.102,0","4.199,0","4.102,0","0,01K","-0,02%",
"16/01/2026","4.200,0","4.200,0","4.200,0","4.200,0","0,30K","0,00%",
"15/01/2026","4.200,0","4.200,0","4.200,0","4.101,0","0,04K","-0,36%",
"13/01/2026","4.215,0","4.150,0","4.215,0","4.065,0","0,41K","2,80%",
"12/01/2026","4.100,0","4.100,0","4.100,0","4.066,0","0,15K","0,00%",
"09/01/2026","4.100,0","4.150,0","4.150,0","4.095,0","1,39K","-1,20%",
"08/01/2026","4.150,0","4.215,0","4.215,0","4.102,0","0,02K","0,00%",
"07/01/2026","4.150,0","4.195,0","4.200,0","4.150,0","1,57K","1,22%",
"06/01/2026","4.100,0","4.195,0","4.195,0","4.100,0","2,04K","0,99%",
"05/01/2026","4.060,0","4.060,0","4.060,0","4.050,0","0,12K","0,27%",
"02/01/2026","4.049,0","4.197,0","4.197,0","4.049,0","0,10K","0,22%",
"31/12/2025","4.040,0","4.185,0","4.194,0","4.020,0","0,30K","0,50%",
"30/12/2025","4.020,0","4.100,0","4.100,0","4.020,0","0,02K","0,37%",
"29/12/2025","4.005,0","4.040,0","4.200,0","4.000,0","0,03K","0,13%",
"26/12/2025","4.000,0","4.210,0","4.210,0","4.000,0","0,09K","-2,94%",
"24/12/2025","4.121,0","4.220,0","4.220,0","4.121,0","0,01K","0,51%",
