Date,Cours,Ouv.,Plus haut,Plus bas,Vol.,Var. %,
"20/02/2026","82,343","78,475","84,645","77,285","57,45K","6,07%",
"19/02/2026","77,634","77,145","79,405","76,300","39,92K","0,05%",
"18/02/2026","77,598","73,580","78,320","72,250","46,41K","5,52%",
"17/02/2026","73,540","77,550","78,420","71,815","72,73K","-3,58%",
"16/02/2026","76,270","76,265","77,438","74,685","15,77K","-0,02%",
"15/02/2026","76,287","77,527","78,420","74,650","0","-2,15%",
"13/02/2026","77,964","75,175","79,265","73,745","56,88K","3,02%",
"12/02/2026","75,682","84,125","84,875","74,370","91,03K","-9,82%",
"11/02/2026","83,920","80,500","86,120","80,415","64,91K","4,40%",
"10/02/2026","80,384","83,215","83,745","79,615","56,17K","-2,25%",
"09/02/2026","82,234","78,100","83,760","78,100","71,60K","6,94%",
"06/02/2026","76,895","70,360","77,920","63,900","111,21K","0,24%",
"05/02/2026","76,714","87,645","89,830","70,175","165,09K","-9,10%",
"04/02/2026","84,396","84,915","92,015","83,000","113,34K","1,31%",
"03/02/2026","83,301","79,220","89,100","79,010","127,59K","8,17%",
"02/02/2026","77,009","84,300","88,000","71,200","167,86K","-1,94%",
"30/01/2026","78,531","115,885","118,450","74,000","317,24K","-31,37%",
"29/01/2026","114,429","116,625","121,785","106,610","193,65K","1,12%",
"28/01/2026","113,162","112,095","117,030","110,495","1,44K","7,17%",
"27/01/2026","105,592","104,760","112,750","102,595","1,72K","-8,30%",
"26/01/2026","115,148","104,970","117,265","101,510","1,95K","13,63%",
"23/01/2026","101,333","96,320","103,530","96,220","139,09K","5,15%",
"22/01/2026","96,372","92,790","96,735","90,680","108,42K","4,03%",
"21/01/2026","92,637","94,550","95,530","90,150","128,65K","-2,11%",
"20/01/2026","94,636","90,605","95,780","90,500","199,93K","0,87%",
"19/01/2026","93,820","93,635","94,740","92,283","79,94K","-7,41%",
"18/01/2026","101,333","90,605","103,530","90,150","436,99K","14,45%",
"11/01/2026","88,537","80,505","93,700","79,900","897,43K","11,72%",
"06/01/2026","79,250","81,285","82,585","78,100","57,33K","-2,21%",
"05/01/2026","81,039","76,530","81,485","75,700","136,39K","5,72%",
"04/01/2026","76,657","73,080","77,835","72,505","131,25K","7,94%",
"01/01/2026","71,015","71,500","74,210","70,515","99,77K","0,58%",
"30/12/2025","70,603","76,065","76,275","69,255","148,60K","-9,39%",
"29/12/2025","77,919","71,685","78,065","70,670","168,12K","10,59%",
"28/12/2025","70,460","80,000","82,670","70,215","248,84K","-8,73%",
"25/12/2025","77,196","72,725","79,700","72,720","171,24K","7,69%",
"23/12/2025","71,685","71,680","72,750","70,160","94,82K","0,77%",
"22/12/2025","71,137","69,080","71,795","68,725","128,80K","3,75%",
"21/12/2025","68,565","67,550","69,525","67,470","98,56K","1,59%",
"18/12/2025","67,489","65,415","67,680","64,465","96,49K","3,48%",
"17/12/2025","65,219","66,510","66,825","64,675","111,67K","-2,51%",
"16/12/2025","66,901","63,795","67,180","63,725","147,11K","5,65%",
"15/12/2025","63,323","64,110","64,205","62,115","95,99K","2,12%",
"11/12/2025","62,007","63,985","65,085","61,015","189,23K","-4,00%",
"10/12/2025","64,592","62,235","64,720","61,780","134,40K","5,84%",
"09/12/2025","61,029","61,110","62,390","60,550","119,07K","0,31%",
"08/12/2025","60,840","58,515","61,295","57,990","118,78K","4,17%",
