Date,Cours,Ouv.,Plus haut,Plus bas,Vol.,Var. %,
"20/02/2026","94,99","93,00","94,99","91,50","3,11K","3,25%",
"19/02/2026","92,00","93,91","93,91","92,00","0,19K","-1,08%",
"18/02/2026","93,00","92,00","93,00","90,55","0,06K","0,01%",
"17/02/2026","92,99","92,98","92,99","91,10","0,07K","1,63%",
"16/02/2026","91,50","90,51","93,22","90,51","0,76K","0,55%",
"13/02/2026","91,00","93,99","93,99","91,00","0,29K","-2,14%",
"12/02/2026","92,99","90,20","92,99","90,20","0,17K","-0,37%",
"11/02/2026","93,34","93,99","93,99","93,00","0,03K","2,57%",
"10/02/2026","91,00","91,75","91,75","91,00","0,10K","0,82%",
"09/02/2026","90,26","90,21","91,75","90,00","0,18K","0,06%",
"06/02/2026","90,21","92,49","92,49","90,16","0,61K","0,07%",
"05/02/2026","90,15","93,99","94,50","90,15","216,06K","-2,01%",
"04/02/2026","92,00","93,99","93,99","92,00","0,14K","0,00%",
"03/02/2026","92,00","92,00","94,00","92,00","0,55K","0,00%",
"02/02/2026","92,00","94,00","94,00","92,00","0,04K","-2,59%",
"30/01/2026","94,45","92,00","94,45","90,60","1,35K","1,02%",
"29/01/2026","93,50","94,65","94,65","91,50","0,63K","-1,27%",
"28/01/2026","94,70","92,00","94,70","90,35","1,87K","4,07%",
"27/01/2026","91,00","92,00","92,00","91,00","1,18K","0,00%",
"26/01/2026","91,00","92,01","94,00","91,00","1,09K","-4,11%",
"23/01/2026","94,90","93,00","94,90","92,01","2,18K","0,37%",
"22/01/2026","94,55","93,00","94,77","92,03","0,06K","-0,10%",
"21/01/2026","94,64","92,00","94,65","92,00","0,05K","-0,06%",
"20/01/2026","94,70","92,10","95,00","92,10","0,35K","-1,10%",
"19/01/2026","95,75","95,75","95,75","92,10","0,47K","0,79%",
"16/01/2026","95,00","93,72","95,00","93,50","2,47K","-0,94%",
"15/01/2026","95,90","95,10","95,90","93,61","0,08K","0,00%",
"13/01/2026","95,90","94,04","95,99","93,50","1,52K","-0,83%",
"12/01/2026","96,70","95,94","97,00","93,20","2,05K","0,75%",
"09/01/2026","95,98","94,00","95,98","93,11","11,49K","1,03%",
"08/01/2026","95,00","93,05","95,48","93,05","1,61K","1,50%",
"07/01/2026","93,60","94,00","94,50","93,57","0,48K","-1,78%",
"06/01/2026","95,30","95,00","95,49","94,00","4,66K","-0,20%",
"05/01/2026","95,49","95,00","95,49","94,00","0,79K","-0,22%",
"02/01/2026","95,70","95,95","96,00","92,33","3,14K","1,92%",
"31/12/2025","93,90","95,60","95,60","92,41","9,38K","-2,08%",
"30/12/2025","95,89","95,90","95,90","92,21","1,14K","2,89%",
"29/12/2025","93,20","94,00","96,50","91,15","1,06K","-3,92%",
"26/12/2025","97,00","94,93","97,00","92,02","30,55K","4,31%",
"25/12/2025","92,99","93,00","94,49","92,00","35,36K","1,08%",
"24/12/2025","92,00","93,50","95,00","92,00","23,33K","-2,07%",
"23/12/2025","93,94","93,95","93,95","91,01","10,13K","0,47%",
"22/12/2025","93,50","93,00","93,50","91,00","4,19K","3,89%",
"19/12/2025","90,00","93,00","94,90","90,00","20,98K","-3,23%",
"18/12/2025","93,00","94,50","94,50","92,11","5,47K","-1,58%",
"17/12/2025","94,49","94,49","94,49","92,41","3,84K","0,20%",
"16/12/2025","94,30","94,49","94,49","92,01","1,81K","2,06%",
"15/12/2025","92,40","94,78","94,78","92,27","0,80K","-2,42%",
"12/12/2025","94,69","92,21","94,70","92,21","18,02K","-0,11%",
"11/12/2025","94,79","95,00","95,00","92,01","3,13K","-0,21%",
"10/12/2025","94,99","94,99","94,99","92,03","1,06K","0,00%",
"09/12/2025","94,99","93,98","94,99","93,00","1,14K","1,07%",
"08/12/2025","93,98","94,00","94,00","91,36","0,13K","-0,01%",
"05/12/2025","93,99","91,02","94,00","91,02","3,44K","-0,37%",
"04/12/2025","94,34","92,10","94,38","91,00","7,51K","0,37%",
"03/12/2025","93,99","92,52","94,94","92,50","1,93K","-1,00%",
"02/12/2025","94,94","92,00","95,00","92,00","1,44K","-0,06%",
"01/12/2025","95,00","95,95","95,95","92,17","0,63K","0,00%",
"28/11/2025","95,00","95,00","96,00","92,14","6,38K","0,01%",
"27/11/2025","94,99","94,99","94,99","94,00","2,98K","0,00%",
"26/11/2025","94,99","93,21","94,99","91,00","2,06K","1,16%",
"25/11/2025","93,90","93,00","93,90","91,60","1,62K","0,97%",
"24/11/2025","93,00","90,50","93,00","90,50","0,03K","-1,06%",
"21/11/2025","94,00","90,52","94,00","90,11","5,02K","1,13%",
"20/11/2025","92,95","92,00","93,00","89,50","1,46K","0,05%",
"19/11/2025","92,90","92,00","94,50","89,00","4,42K","-3,23%",
"17/11/2025","96,00","95,00","96,00","91,55","1,56K","1,60%",
"14/11/2025","94,49","94,95","94,95","92,00","3,29K","-0,54%",
"13/11/2025","95,00","92,60","95,78","92,60","0,57K","-0,94%",
"12/11/2025","95,90","95,98","95,98","92,26","0,12K","0,95%",
"11/11/2025","95,00","95,50","95,89","93,20","0,64K","-0,54%",
"10/11/2025","95,52","95,98","96,95","95,50","0,47K","-0,49%",
"07/11/2025","95,99","96,95","96,96","95,50","0,92K","0,51%",
"05/11/2025","95,50","97,50","97,50","95,50","0,07K","-2,54%",
"04/11/2025","97,99","96,00","97,99","95,00","6,43K","1,86%",
"03/11/2025","96,20","98,60","98,98","96,05","0,75K","0,21%",
"31/10/2025","96,00","97,89","97,89","96,00","8,91K","-1,94%",
"30/10/2025","97,90","97,99","98,00","95,55","0,75K","-0,10%",
"29/10/2025","98,00","98,70","98,70","98,00","0,01K","-0,81%",
"28/10/2025","98,80","96,00","98,80","95,10","2,42K","0,00%",
"27/10/2025","98,80","96,21","98,80","96,20","0,80K","-0,10%",
"24/10/2025","98,90","97,50","98,90","96,60","1,36K","1,44%",
"23/10/2025","97,50","98,94","98,94","97,50","9,93K","-1,51%",
"22/10/2025","98,99","99,00","99,00","97,00","0,55K","0,50%",
"21/10/2025","98,50","97,10","98,50","96,00","5,22K","1,03%",
"20/10/2025","97,50","95,00","97,80","95,00","16,45K","2,63%",
"17/10/2025","95,00","95,99","97,20","95,00","13,33K","0,01%",
"16/10/2025","94,99","94,00","97,30","94,00","7,03K","0,04%",
"15/10/2025","94,95","92,00","95,00","91,50","3,22K","-0,05%",
"14/10/2025","95,00","94,99","95,00","92,00","7,10K","0,00%",
"13/10/2025","95,00","94,00","96,40","94,00","1,42K","-1,43%",
"10/10/2025","96,38","95,00","96,38","95,00","7,22K","1,45%",
"09/10/2025","95,00","94,00","95,00","94,00","2,10K","0,00%",
"08/10/2025","95,00","96,80","96,80","95,00","3,39K","-2,05%",
"07/10/2025","96,99","95,40","97,73","95,33","4,11K","1,75%",
"06/10/2025","95,32","96,50","97,70","95,00","23,07K","0,34%",
"03/10/2025","95,00","93,80","96,50","93,80","18,00K","1,28%",
"02/10/2025","93,80","92,99","94,99","90,00","30,20K","-0,21%",
"01/10/2025","94,00","94,00","96,00","94,00","2,60K","-5,05%",
"30/09/2025","99,00","96,00","99,00","91,00","40,94K","3,13%",
"29/09/2025","96,00","96,30","98,90","96,00","47,91K","-3,03%",
"26/09/2025","99,00","96,15","99,35","96,15","56,78K","1,02%",
"25/09/2025","98,00","99,89","99,98","97,00","16,69K","-1,99%",
"24/09/2025","99,99","97,98","99,99","96,05","8,70K","4,16%",
"23/09/2025","96,00","97,00","99,00","96,00","40,55K","-2,54%",
"22/09/2025","98,50","97,64","98,50","96,00","15,44K","0,88%",
"19/09/2025","97,64","97,46","99,00","97,46","0,32K","-2,36%",
"18/09/2025","100,00","100,00","100,00","96,60","2,67K","0,00%",
"17/09/2025","100,00","101,90","101,90","99,00","4,19K","0,40%",
"16/09/2025","99,60","103,00","103,00","99,50","0,21K","0,61%",
"15/09/2025","99,00","101,00","102,00","99,00","2,39K","-2,94%",
"12/09/2025","102,00","103,95","103,95","100,00","5,40K","0,00%",
"11/09/2025","102,00","102,00","104,95","100,40","20,46K","0,10%",
"10/09/2025","101,90","98,50","103,20","98,50","24,78K","3,87%",
"09/09/2025","98,10","104,55","106,80","98,10","33,98K","-6,12%",
"08/09/2025","104,50","102,65","104,95","100,00","83,09K","3,47%",
"04/09/2025","101,00","96,50","103,00","96,50","108,98K","4,12%",
"03/09/2025","97,00","97,20","99,94","97,00","12,50K","-2,95%",
"02/09/2025","99,95","98,90","99,95","97,00","5,98K","0,96%",
"01/09/2025","99,00","97,69","100,00","94,00","24,45K","4,21%",
"29/08/2025","95,00","99,00","99,00","95,00","40,72K","-3,06%",
"28/08/2025","98,00","99,80","99,80","97,51","5,21K","-0,67%",
"27/08/2025","98,66","100,00","100,00","98,50","11,73K","-2,32%",
"26/08/2025","101,00","101,10","102,00","97,51","5,98K","0,00%",
"25/08/2025","101,00","97,00","104,00","94,02","46,50K","4,12%",
"22/08/2025","97,00","93,10","97,00","93,10","13,02K","2,16%",
"19/08/2025","94,95","93,01","94,95","91,62","19,01K","-0,04%",
"18/08/2025","94,99","95,00","97,30","94,00","7,71K","-0,33%",
"15/08/2025","95,30","97,00","98,00","95,30","61,75K","-2,76%",
"13/08/2025","98,00","100,00","100,00","97,01","8,97K","-1,90%",
"12/08/2025","99,90","101,00","101,10","96,26","23,73K","-0,10%",
"11/08/2025","100,00","104,50","104,50","99,05","49,38K","-6,54%",
"08/08/2025","107,00","109,95","114,00","106,70","153,07K","1,66%",
"07/08/2025","105,25","99,90","105,25","99,80","383,72K","9,99%",
"06/08/2025","95,69","87,00","95,69","85,30","116,66K","9,99%",
"05/08/2025","87,00","84,00","89,00","84,00","47,41K","3,82%",
"04/08/2025","83,80","80,00","83,80","80,00","29,56K","4,75%",
"01/08/2025","80,00","82,52","83,45","80,00","23,14K","-4,19%",
"31/07/2025","83,50","83,50","83,50","82,50","2,38K","0,00%",
"29/07/2025","83,50","83,90","83,90","82,50","2,30K","-0,48%",
"28/07/2025","83,90","83,99","83,99","83,90","1,91K","-0,11%",
"25/07/2025","83,99","82,50","83,99","82,50","5,60K","0,00%",
"24/07/2025","83,99","83,50","83,99","81,25","5,03K","-0,01%",
"23/07/2025","84,00","82,00","84,00","79,20","7,58K","2,44%",
"22/07/2025","82,00","80,00","82,00","78,81","20,39K","2,50%",
"21/07/2025","80,00","80,50","84,00","78,10","42,79K","0,00%",
"18/07/2025","80,00","80,50","80,65","78,50","9,14K","0,00%",
"17/07/2025","80,00","79,00","80,00","77,50","3,21K","1,91%",
"16/07/2025","78,50","78,30","78,80","78,00","11,02K","-1,88%",
"15/07/2025","80,00","78,40","80,00","78,40","1,23K","0,00%",
"14/07/2025","80,00","80,90","80,90","78,40","3,54K","-1,23%",
"11/07/2025","81,00","80,00","81,00","78,70","11,34K","1,25%",
"10/07/2025","80,00","79,00","80,00","79,00","2,42K","0,00%",
"09/07/2025","80,00","80,00","80,00","79,00","1,10K","-0,62%",
"08/07/2025","80,50","80,70","80,70","78,05","6,73K","0,63%",
