Date,Cours,Ouv.,Plus haut,Plus bas,Vol.,Var. %,
"20/02/2026","1.792,00","1.755,00","1.792,00","1.750,00","0,04K","-0,06%",
"19/02/2026","1.793,00","1.793,00","1.793,00","1.793,00","0,00K","2,34%",
"18/02/2026","1.752,00","1.792,00","1.792,00","1.752,00","0,02K","-2,12%",
"17/02/2026","1.790,00","1.796,00","1.796,00","1.739,00","0,03K","-0,50%",
"16/02/2026","1.799,00","1.799,00","1.799,00","1.799,00","0,00K","3,39%",
"13/02/2026","1.740,00","1.751,00","1.798,00","1.740,00","0,65K","-2,79%",
"12/02/2026","1.790,00","1.751,00","1.799,00","1.750,00","2,81K","-0,44%",
"11/02/2026","1.798,00","1.799,00","1.799,00","1.798,00","0,01K","3,51%",
"10/02/2026","1.737,00","1.799,00","1.799,00","1.737,00","0,45K","-3,77%",
"09/02/2026","1.805,00","1.780,00","1.818,00","1.732,00","0,04K","4,34%",
"06/02/2026","1.730,00","1.799,00","1.799,00","1.730,00","0,08K","-1,70%",
"05/02/2026","1.760,00","1.798,00","1.798,00","1.733,00","0,01K","-2,22%",
"04/02/2026","1.800,00","1.798,00","1.800,00","1.798,00","6,52K","0,00%",
"02/02/2026","1.800,00","1.727,00","1.810,00","1.711,00","0,04K","2,86%",
"30/01/2026","1.750,00","1.805,00","1.805,00","1.750,00","0,04K","-2,72%",
"29/01/2026","1.799,00","1.810,00","1.810,00","1.755,00","5,20K","0,22%",
"28/01/2026","1.795,00","1.725,00","1.820,00","1.725,00","0,13K","0,96%",
"27/01/2026","1.778,00","1.790,00","1.790,00","1.778,00","0,00K","-1,66%",
"26/01/2026","1.808,00","1.715,00","1.819,00","1.705,00","0,03K","4,45%",
"23/01/2026","1.731,00","1.735,00","1.830,00","1.731,00","0,33K","-1,09%",
"22/01/2026","1.750,00","1.820,00","1.850,00","1.732,00","0,16K","-2,78%",
"21/01/2026","1.800,00","1.800,00","1.800,00","1.800,00","0,02K","-3,74%",
"20/01/2026","1.870,00","1.870,00","1.870,00","1.870,00","0,00K","0,16%",
"19/01/2026","1.867,00","1.869,00","1.869,00","1.780,00","0,01K","0,11%",
"16/01/2026","1.865,00","1.860,00","1.865,00","1.860,00","0,05K","0,11%",
"15/01/2026","1.863,00","1.859,00","1.863,00","1.859,00","0,07K","0,05%",
"13/01/2026","1.862,00","1.864,00","1.864,00","1.777,00","0,10K","-0,11%",
"12/01/2026","1.864,00","1.865,00","1.865,00","1.780,00","1,58K","0,76%",
"09/01/2026","1.850,00","1.850,00","1.865,00","1.800,00","0,33K","-0,80%",
"08/01/2026","1.865,00","1.839,00","1.873,00","1.800,00","0,03K","1,97%",
"07/01/2026","1.829,00","1.800,00","1.838,00","1.750,00","0,18K","-0,60%",
"06/01/2026","1.840,00","1.845,00","1.845,00","1.800,00","0,06K","-0,49%",
"05/01/2026","1.849,00","1.850,00","1.875,00","1.849,00","0,02K","-1,39%",
"02/01/2026","1.875,00","1.850,00","1.875,00","1.805,00","0,10K","1,35%",
"31/12/2025","1.850,00","1.814,00","1.889,00","1.814,00","0,51K","1,98%",
"30/12/2025","1.814,00","1.818,00","1.818,00","1.750,00","0,54K","4,25%",
"29/12/2025","1.740,00","1.820,00","1.820,00","1.740,00","0,14K","0,52%",
"26/12/2025","1.731,00","1.815,00","1.820,00","1.731,00","0,64K","-4,68%",
"25/12/2025","1.816,00","1.816,00","1.816,00","1.816,00","0,01K","0,89%",
"24/12/2025","1.800,00","1.818,00","1.818,00","1.760,00","0,54K","-1,10%",
"23/12/2025","1.820,00","1.820,00","1.820,00","1.820,00","0,01K","0,00%",
"22/12/2025","1.820,00","1.780,00","1.820,00","1.780,00","0,04K","1,96%",
"19/12/2025","1.785,00","1.780,00","1.813,00","1.780,00","0,07K","-1,60%",
"18/12/2025","1.814,00","1.760,00","1.820,00","1.760,00","0,14K","-0,06%",
"17/12/2025","1.815,00","1.800,00","1.819,00","1.795,00","0,14K","2,25%",
"16/12/2025","1.775,00","1.800,00","1.800,00","1.775,00","0,01K","0,00%",
"15/12/2025","1.775,00","1.777,00","1.800,00","1.735,00","0,09K","0,00%",
"12/12/2025","1.775,00","1.770,00","1.775,00","1.723,00","0,72K","1,43%",
"11/12/2025","1.750,00","1.774,00","1.774,00","1.722,00","0,33K","-1,41%",
"10/12/2025","1.775,00","1.775,00","1.775,00","1.720,00","0,03K","-0,22%",
"09/12/2025","1.779,00","1.779,00","1.779,00","1.779,00","0,00K","0,00%",
"08/12/2025","1.779,00","1.779,00","1.779,00","1.779,00","0,00K","0,00%",
"05/12/2025","1.779,00","1.750,00","1.779,00","1.750,00","0,36K","-0,45%",
"04/12/2025","1.787,00","1.755,00","1.787,00","1.750,00","0,16K","2,11%",
"03/12/2025","1.750,00","1.750,00","1.750,00","1.750,00","0,02K","-1,46%",
"02/12/2025","1.776,00","1.745,00","1.776,00","1.745,00","0,01K","-0,06%",
"01/12/2025","1.777,00","1.778,00","1.778,00","1.745,00","0,03K","0,11%",
"28/11/2025","1.775,00","1.775,00","1.775,00","1.745,00","0,03K","-0,22%",
"26/11/2025","1.779,00","1.779,00","1.779,00","1.779,00","0,00K","-0,50%",
"25/11/2025","1.788,00","1.775,00","1.788,00","1.775,00","0,00K","5,11%",
"24/11/2025","1.701,00","1.778,00","1.778,00","1.701,00","0,02K","-4,44%",
"21/11/2025","1.780,00","1.755,00","1.780,00","1.755,00","0,12K","-0,11%",
"20/11/2025","1.782,00","1.750,00","1.784,00","1.750,00","0,01K","0,73%",
"19/11/2025","1.769,00","1.779,00","1.780,00","1.693,00","0,12K","-0,56%",
"14/11/2025","1.779,00","1.732,00","1.780,00","1.730,00","0,03K","-0,06%",
"13/11/2025","1.780,00","1.780,00","1.784,00","1.780,00","0,02K","0,00%",
"12/11/2025","1.780,00","1.780,00","1.780,00","1.780,00","0,02K","-0,56%",
"11/11/2025","1.790,00","1.776,00","1.790,00","1.776,00","0,03K","-0,22%",
"10/11/2025","1.794,00","1.794,00","1.794,00","1.794,00","0,02K","-0,28%",
"07/11/2025","1.799,00","1.777,00","1.834,00","1.776,00","0,06K","-1,42%",
"05/11/2025","1.825,00","1.844,00","1.844,00","1.789,00","0,07K","-0,60%",
"03/11/2025","1.836,00","1.839,00","1.839,00","1.800,00","0,10K","-0,22%",
"31/10/2025","1.840,00","1.790,00","1.840,00","1.742,00","0,68K","2,39%",
"30/10/2025","1.797,00","1.800,00","1.800,00","1.773,00","0,03K","-0,11%",
"29/10/2025","1.799,00","1.795,00","1.818,00","1.776,00","0,15K","0,00%",
"28/10/2025","1.799,00","1.820,00","1.820,00","1.781,00","1,13K","-0,06%",
"27/10/2025","1.800,00","1.820,00","1.820,00","1.800,00","0,20K","0,61%",
"24/10/2025","1.789,00","1.789,00","1.789,00","1.789,00","0,35K","0,00%",
"23/10/2025","1.789,00","1.780,00","1.789,00","1.771,00","2,03K","-0,28%",
"22/10/2025","1.794,00","1.770,00","1.795,00","1.770,00","0,03K","0,00%",
"21/10/2025","1.794,00","1.740,00","1.794,00","1.740,00","0,04K","-0,33%",
"20/10/2025","1.800,00","1.809,00","1.809,00","1.731,00","0,04K","5,20%",
"17/10/2025","1.711,00","1.814,00","1.814,00","1.711,00","0,89K","-5,94%",
"16/10/2025","1.819,00","1.819,00","1.819,00","1.819,00","0,01K","1,22%",
"15/10/2025","1.797,00","1.725,00","1.797,00","1.725,00","0,06K","-1,21%",
"14/10/2025","1.819,00","1.782,00","1.838,00","1.723,00","0,05K","-2,88%",
"13/10/2025","1.873,00","1.850,00","1.873,00","1.850,00","0,00K","4,06%",
"10/10/2025","1.800,00","1.859,00","1.859,00","1.780,00","0,72K","0,00%",
"09/10/2025","1.800,00","1.830,00","1.878,00","1.800,00","0,65K","-4,20%",
"08/10/2025","1.879,00","1.879,00","1.879,00","1.879,00","0,00K","2,68%",
"07/10/2025","1.830,00","1.835,00","1.849,00","1.800,00","2,33K","-3,17%",
"06/10/2025","1.890,00","1.792,00","1.896,00","1.785,00","0,10K","2,16%",
"03/10/2025","1.850,00","1.794,00","1.850,00","1.794,00","0,22K","4,58%",
"02/10/2025","1.769,00","1.681,00","1.775,00","1.642,00","0,21K","-1,72%",
"01/10/2025","1.800,00","1.716,00","1.868,00","1.716,00","2,24K","-4,46%",
"30/09/2025","1.884,00","1.818,00","1.893,00","1.810,00","1,04K","-0,63%",
"29/09/2025","1.896,00","1.905,00","1.905,00","1.825,00","0,02K","-0,21%",
"26/09/2025","1.900,00","1.905,00","1.905,00","1.898,00","1,02K","0,53%",
"25/09/2025","1.890,00","1.900,00","1.925,00","1.890,00","0,48K","-1,05%",
"24/09/2025","1.910,00","1.910,00","1.910,00","1.880,00","1,00K","-0,26%",
"23/09/2025","1.915,00","1.925,00","1.925,00","1.915,00","0,32K","0,00%",
"22/09/2025","1.915,00","1.924,00","1.924,00","1.915,00","0,20K","0,00%",
"19/09/2025","1.915,00","1.930,00","1.930,00","1.867,00","1,04K","-0,67%",
"18/09/2025","1.928,00","1.930,00","1.930,00","1.880,00","0,23K","-0,10%",
"17/09/2025","1.930,00","1.948,00","1.948,00","1.900,00","1,52K","-0,97%",
"16/09/2025","1.949,00","1.915,00","1.949,00","1.900,00","0,25K","2,69%",
"15/09/2025","1.898,00","1.899,00","1.899,00","1.880,00","0,04K","-0,05%",
"12/09/2025","1.899,00","1.870,00","1.899,00","1.870,00","0,77K","-0,05%",
"11/09/2025","1.900,00","1.896,00","1.910,00","1.889,00","7,31K","0,85%",
"10/09/2025","1.884,00","1.895,00","1.895,00","1.850,00","0,04K","0,80%",
"09/09/2025","1.869,00","1.900,00","1.900,00","1.833,00","0,16K","-1,63%",
"08/09/2025","1.900,00","1.920,00","1.920,00","1.851,00","2,03K","-1,04%",
"04/09/2025","1.920,00","1.900,00","1.920,00","1.880,00","0,81K","1,64%",
"03/09/2025","1.889,00","1.879,00","1.900,00","1.871,00","22,00K","0,48%",
"02/09/2025","1.880,00","1.855,00","1.880,00","1.810,00","0,34K","0,00%",
"01/09/2025","1.880,00","1.855,00","1.900,00","1.855,00","1,06K","1,62%",
"29/08/2025","1.850,00","1.850,00","1.850,00","1.850,00","0,30K","0,60%",
"28/08/2025","1.839,00","1.767,00","1.850,00","1.767,00","4,00K","1,32%",
"27/08/2025","1.815,00","1.771,00","1.815,00","1.771,00","0,36K","0,00%",
"26/08/2025","1.815,00","1.800,00","1.815,00","1.800,00","0,01K","0,00%",
"25/08/2025","1.815,00","1.747,00","1.820,00","1.747,00","0,09K","-0,55%",
"22/08/2025","1.825,00","1.740,00","1.825,00","1.740,00","0,64K","1,39%",
"19/08/2025","1.800,00","1.785,00","1.809,00","1.750,00","0,10K","-0,22%",
"18/08/2025","1.804,00","1.825,00","1.825,00","1.780,00","0,54K","-0,88%",
"15/08/2025","1.820,00","1.785,00","1.829,00","1.785,00","1,42K","-0,55%",
"13/08/2025","1.830,00","1.780,00","1.835,00","1.780,00","0,27K","-0,27%",
"11/08/2025","1.835,00","1.850,00","1.850,00","1.830,00","0,14K","-0,81%",
"08/08/2025","1.850,00","1.751,00","1.850,00","1.751,00","4,31K","2,83%",
"07/08/2025","1.799,00","1.815,00","1.815,00","1.752,00","1,55K","1,70%",
"06/08/2025","1.769,00","1.732,00","1.787,00","1.731,00","1,24K","-0,56%",
"05/08/2025","1.779,00","1.727,00","1.791,00","1.727,00","0,60K","-0,56%",
"04/08/2025","1.789,00","1.800,00","1.805,00","1.750,00","0,61K","-0,61%",
"01/08/2025","1.800,00","1.768,00","1.818,00","1.751,00","1,64K","-1,10%",
"31/07/2025","1.820,00","1.758,00","1.820,00","1.758,00","0,85K","-0,87%",
"29/07/2025","1.836,00","1.771,00","1.840,00","1.757,00","0,67K","1,66%",
"28/07/2025","1.806,00","1.841,00","1.841,00","1.770,00","1,35K","-0,11%",
"25/07/2025","1.808,00","1.790,00","1.845,00","1.788,00","9,54K","1,01%",
