Date,Cours,Ouv.,Plus haut,Plus bas,Var. %,
"20/02/2026","1.969,23","1.956,14","1.971,88","1.949,88","0,66%",
"19/02/2026","1.956,23","1.963,77","1.975,98","1.955,08","-0,68%",
"18/02/2026","1.969,63","1.945,22","1.970,03","1.945,22","1,17%",
"17/02/2026","1.946,78","1.953,73","1.961,05","1.945,83","-0,32%",
"16/02/2026","1.953,03","1.965,15","1.967,30","1.952,63","-0,56%",
"13/02/2026","1.964,03","1.982,79","1.985,20","1.958,23","-0,94%",
"12/02/2026","1.982,68","1.994,00","2.001,15","1.973,43","-0,70%",
"11/02/2026","1.996,68","1.974,10","1.997,48","1.974,10","0,94%",
"10/02/2026","1.978,03","1.970,87","1.983,55","1.961,48","0,13%",
"09/02/2026","1.975,38","1.965,45","1.978,28","1.952,33","0,57%",
"06/02/2026","1.964,23","1.955,52","1.964,68","1.948,55","0,19%",
"05/02/2026","1.960,55","1.968,54","1.974,25","1.955,75","-0,41%",
"04/02/2026","1.968,60","1.966,65","1.973,80","1.958,20","0,21%",
"03/02/2026","1.964,45","1.969,82","1.984,85","1.963,00","-0,45%",
"02/02/2026","1.973,25","1.999,80","1.999,80","1.957,15","-1,43%",
"30/01/2026","2.001,80","2.015,30","2.016,70","1.992,15","-0,76%",
"29/01/2026","2.017,03","2.029,35","2.063,57","2.008,98","-0,41%",
"28/01/2026","2.025,28","2.030,35","2.038,43","2.019,68","-0,02%",
"27/01/2026","2.025,73","2.043,32","2.043,32","2.011,08","-0,65%",
"26/01/2026","2.038,98","2.039,75","2.069,68","2.026,15","0,23%",
"23/01/2026","2.034,23","2.029,85","2.039,93","2.020,98","0,17%",
"22/01/2026","2.030,83","2.024,04","2.036,05","2.013,08","0,26%",
"21/01/2026","2.025,63","2.027,03","2.050,93","2.021,98","-0,37%",
"20/01/2026","2.033,08","2.060,25","2.063,15","2.023,88","-1,44%",
"19/01/2026","2.062,77","2.046,73","2.063,07","2.042,03","1,10%",
"16/01/2026","2.040,23","2.095,40","2.098,60","2.039,98","-2,62%",
"15/01/2026","2.095,07","2.081,19","2.101,23","2.072,05","0,51%",
"14/01/2026","2.084,35","2.051,54","2.086,68","2.050,55","1,27%",
"13/01/2026","2.058,23","2.046,92","2.062,77","2.042,05","0,53%",
"12/01/2026","2.047,43","2.055,70","2.066,02","2.046,88","0,08%",
"09/01/2026","2.045,70","2.023,45","2.059,60","2.020,70","1,15%",
"08/01/2026","2.022,45","2.052,35","2.058,93","2.022,00","-1,79%",
"07/01/2026","2.059,25","2.072,36","2.087,30","2.043,00","-0,49%",
"06/01/2026","2.069,45","2.024,67","2.078,75","2.022,80","2,23%",
"05/01/2026","2.024,25","2.011,05","2.025,25","2.008,15","1,04%",
"02/01/2026","2.003,50","2.008,02","2.019,33","2.002,70","-0,08%",
"31/12/2025","2.005,18","2.017,03","2.022,18","2.000,10","-0,51%",
"30/12/2025","2.015,43","2.009,07","2.030,55","2.008,93","0,37%",
"29/12/2025","2.007,98","2.004,25","2.029,30","1.991,78","0,46%",
"24/12/2025","1.998,78","1.987,89","2.003,90","1.987,89","0,60%",
"23/12/2025","1.986,95","1.970,95","1.998,03","1.970,95","0,81%",
"22/12/2025","1.970,98","1.985,80","1.989,60","1.969,18","-0,80%",
"19/12/2025","1.986,88","1.963,85","1.992,53","1.963,00","1,31%",
"18/12/2025","1.961,18","1.958,69","1.967,03","1.954,23","0,10%",
"17/12/2025","1.959,18","1.942,23","1.967,48","1.939,50","0,76%",
"16/12/2025","1.944,38","1.943,53","1.952,08","1.940,73","-0,12%",
"15/12/2025","1.946,78","1.968,40","1.974,30","1.939,78","-1,16%",
"12/12/2025","1.969,53","1.983,02","1.987,80","1.966,78","-0,80%",
"11/12/2025","1.985,48","1.981,70","1.995,45","1.981,58","0,31%",
"10/12/2025","1.979,43","1.982,10","1.989,10","1.978,45","0,08%",
"09/12/2025","1.977,83","2.003,05","2.004,15","1.975,43","-1,03%",
"08/12/2025","1.998,43","2.007,95","2.016,90","1.997,18","-0,35%",
"05/12/2025","2.005,43","2.016,10","2.024,63","2.001,18","-0,50%",
"04/12/2025","2.015,48","2.002,05","2.020,98","1.997,73","0,74%",
"03/12/2025","2.000,58","1.998,50","2.009,93","1.996,98","0,18%",
"02/12/2025","1.996,98","1.997,93","2.010,43","1.993,80","-0,22%",
"01/12/2025","2.001,48","1.986,10","2.007,53","1.975,83","1,07%",
"28/11/2025","1.980,38","1.983,59","1.997,58","1.979,28","-0,23%",
"27/11/2025","1.985,03","1.978,24","1.988,53","1.974,85","0,51%",
"26/11/2025","1.975,03","1.984,80","1.990,23","1.975,03","-0,33%",
"25/11/2025","1.981,58","1.990,15","1.994,88","1.979,98","-0,19%",
"24/11/2025","1.985,38","1.993,00","1.999,65","1.982,98","-0,26%",
"21/11/2025","1.990,48","2.008,70","2.015,40","1.988,18","-1,05%",
"20/11/2025","2.011,63","2.017,27","2.024,80","2.008,28","-0,27%",
"19/11/2025","2.017,13","2.023,58","2.029,50","2.017,13","-0,43%",
"18/11/2025","2.025,78","2.037,17","2.044,73","2.023,58","-0,82%",
"17/11/2025","2.042,43","2.063,90","2.064,90","2.036,48","-1,32%",
"14/11/2025","2.069,73","2.074,22","2.082,50","2.062,48","-0,35%",
"13/11/2025","2.076,93","2.089,19","2.095,65","2.075,98","-0,80%",
"12/11/2025","2.093,68","2.066,80","2.098,82","2.064,15","1,40%",
"11/11/2025","2.064,82","2.056,65","2.068,07","2.050,28","0,11%",
"10/11/2025","2.062,50","2.049,85","2.066,18","2.046,65","0,49%",
"07/11/2025","2.052,43","2.040,35","2.059,73","2.031,60","0,62%",
"06/11/2025","2.039,78","2.020,27","2.039,78","2.017,85","0,84%",
"05/11/2025","2.022,83","2.020,93","2.035,95","2.020,28","-0,13%",
"04/11/2025","2.025,48","2.028,40","2.034,58","2.020,65","-0,25%",
"03/11/2025","2.030,63","2.022,10","2.035,35","2.021,95","0,21%",
"31/10/2025","2.026,43","2.028,15","2.029,80","2.014,68","-0,04%",
"30/10/2025","2.027,30","2.028,55","2.036,73","2.023,65","0,09%",
