Date,Cours,Ouv.,Plus haut,Plus bas,Vol.,Var. %,
"20/02/2026","345,00","336,00","345,00","335,00","9,52K","2,51%",
"19/02/2026","336,55","335,10","345,00","335,10","8,34K","-1,01%",
"18/02/2026","340,00","342,00","349,50","340,00","19,77K","-1,45%",
"17/02/2026","345,00","346,00","350,10","341,00","23,38K","-1,48%",
"16/02/2026","350,20","350,00","357,00","350,00","63,64K","-2,71%",
"13/02/2026","359,95","360,00","362,00","355,00","46,31K","-0,01%",
"12/02/2026","360,00","350,05","360,00","350,05","75,12K","3,24%",
"11/02/2026","348,70","340,05","349,90","330,10","199,66K","-0,67%",
"10/02/2026","351,05","351,05","351,05","351,05","54,48K","-9,99%",
"09/02/2026","390,00","380,00","395,00","376,00","3,82K","5,41%",
"06/02/2026","370,00","388,50","388,50","370,00","6,76K","-1,33%",
"05/02/2026","375,00","385,00","396,50","375,00","19,60K","1,35%",
"04/02/2026","370,00","375,00","375,00","366,00","1,34K","-1,33%",
"03/02/2026","375,00","375,00","375,00","374,20","0,55K","0,25%",
"02/02/2026","374,05","389,00","389,00","374,00","21,67K","-0,25%",
"30/01/2026","375,00","378,70","379,00","365,00","7,45K","-1,04%",
"29/01/2026","378,95","380,00","385,00","360,00","22,82K","-0,54%",
"28/01/2026","381,00","390,00","390,00","381,00","1,76K","0,26%",
"27/01/2026","380,00","400,00","402,00","380,00","5,28K","-2,81%",
"26/01/2026","391,00","409,00","409,00","390,00","2,96K","-2,74%",
"23/01/2026","402,00","410,00","410,00","402,00","16,41K","-1,71%",
"22/01/2026","409,00","408,95","410,70","407,00","2,15K","0,99%",
"21/01/2026","405,00","410,00","411,00","405,00","2,08K","-0,27%",
"20/01/2026","406,10","411,00","412,00","406,00","1,19K","0,25%",
"19/01/2026","405,10","411,00","413,00","405,00","17,40K","0,02%",
"16/01/2026","405,00","402,00","414,00","400,00","3,44K","-0,74%",
"15/01/2026","408,00","410,00","415,00","407,05","6,89K","2,00%",
"13/01/2026","400,00","408,00","408,00","390,00","0,89K","-0,50%",
"12/01/2026","402,00","406,00","409,85","401,00","1,70K","0,50%",
"09/01/2026","400,00","414,00","414,00","400,00","4,46K","-3,59%",
"08/01/2026","414,90","400,00","420,00","400,00","5,69K","3,98%",
"07/01/2026","399,00","397,00","400,00","396,00","0,22K","-0,25%",
"06/01/2026","400,00","392,00","402,00","392,00","3,11K","2,56%",
"05/01/2026","390,00","390,00","390,00","380,00","1,16K","0,01%",
"02/01/2026","389,95","381,75","390,00","371,00","1,38K","5,39%",
"31/12/2025","370,00","384,00","384,00","370,00","2,05K","0,00%",
"30/12/2025","370,00","377,95","385,00","368,00","3,79K","2,78%",
"29/12/2025","360,00","393,00","393,00","360,00","2,28K","0,00%",
"26/12/2025","360,00","393,00","393,00","360,00","117,79K","-7,69%",
"25/12/2025","390,00","393,00","393,00","383,00","0,33K","-0,76%",
"24/12/2025","393,00","395,00","395,00","382,00","0,34K","0,77%",
"23/12/2025","390,00","395,00","400,00","390,00","0,82K","-1,27%",
"22/12/2025","395,00","386,00","395,00","386,00","0,90K","2,60%",
"19/12/2025","385,00","392,00","395,00","385,00","2,23K","-2,48%",
"18/12/2025","394,80","393,50","394,80","392,00","0,59K","1,23%",
"17/12/2025","390,00","392,00","392,00","390,00","0,67K","0,26%",
"16/12/2025","389,00","389,00","394,90","389,00","0,14K","-0,26%",
"15/12/2025","390,00","390,00","395,00","385,10","0,51K","-0,26%",
"12/12/2025","391,00","391,00","394,00","386,00","0,27K","1,49%",
"11/12/2025","385,25","391,85","391,85","385,15","0,14K","-1,70%",
"10/12/2025","391,90","385,00","392,85","385,00","0,01K","1,53%",
"09/12/2025","386,00","376,10","387,00","376,10","0,12K","0,76%",
"08/12/2025","383,10","375,10","394,90","375,10","0,19K","0,03%",
"05/12/2025","383,00","390,00","391,95","383,00","0,16K","0,00%",
"04/12/2025","383,00","391,95","392,00","383,00","0,33K","-0,01%",
"03/12/2025","383,05","389,90","392,00","381,00","0,40K","-1,73%",
"02/12/2025","389,80","390,00","390,00","389,80","0,02K","2,55%",
"01/12/2025","380,10","385,10","385,10","380,10","0,04K","-4,02%",
"28/11/2025","396,00","385,00","396,00","385,00","1,70K","2,80%",
"27/11/2025","385,20","398,00","398,00","385,00","0,13K","-1,23%",
"26/11/2025","390,00","385,05","390,00","385,00","0,51K","0,03%",
"25/11/2025","389,90","385,00","390,00","385,00","0,60K","1,71%",
"24/11/2025","383,35","384,00","384,00","370,00","0,03K","-0,43%",
"21/11/2025","385,00","378,50","385,00","375,00","1,05K","1,85%",
"20/11/2025","378,00","394,00","394,00","361,60","0,20K","1,59%",
"19/11/2025","372,10","386,00","386,00","372,00","0,76K","-3,60%",
"17/11/2025","386,00","397,90","397,90","386,00","0,77K","-0,52%",
"14/11/2025","388,00","387,00","395,00","387,00","2,18K","-0,51%",
"13/11/2025","390,00","390,10","398,90","390,00","0,66K","-2,26%",
"12/11/2025","399,00","399,00","400,00","390,00","0,60K","0,76%",
"11/11/2025","396,00","401,00","405,00","396,00","0,72K","-3,63%",
"10/11/2025","410,90","418,00","418,00","399,00","0,48K","-2,14%",
"07/11/2025","419,90","390,50","419,90","390,20","4,23K","7,65%",
"05/11/2025","390,05","394,00","395,00","390,00","2,43K","-1,00%",
"04/11/2025","394,00","401,00","412,95","389,80","11,16K","-5,97%",
