Date,Cours,Ouv.,Plus haut,Plus bas,Vol.,Var. %,
"20/02/2026","5.824,00","5.680,00","5.880,00","5.680,00","0,63K","4,94%",
"19/02/2026","5.550,00","5.748,00","5.748,00","5.513,00","0,40K","-2,44%",
"18/02/2026","5.689,00","5.494,00","5.795,00","5.374,00","1,56K","6,34%",
"17/02/2026","5.350,00","5.701,00","5.701,00","5.350,00","2,56K","-7,36%",
"16/02/2026","5.775,00","5.831,00","5.831,00","5.657,00","0,47K","-1,27%",
"13/02/2026","5.849,00","5.750,00","5.900,00","5.504,00","2,15K","0,84%",
"12/02/2026","5.800,00","5.699,00","5.903,00","5.680,00","1,44K","1,84%",
"11/02/2026","5.695,00","5.440,00","5.779,00","5.440,00","0,52K","4,51%",
"10/02/2026","5.449,00","5.580,00","5.599,00","5.301,00","1,01K","-2,40%",
"09/02/2026","5.583,00","5.505,00","5.700,00","5.460,00","0,78K","5,34%",
"06/02/2026","5.300,00","5.120,00","5.444,00","5.023,00","6,29K","-5,03%",
"05/02/2026","5.581,00","5.950,00","5.950,00","5.581,00","5,78K","-9,98%",
"04/02/2026","6.200,00","6.250,00","6.398,00","6.200,00","4,60K","0,81%",
"03/02/2026","6.150,00","6.120,00","6.399,00","6.120,00","4,52K","3,27%",
"02/02/2026","5.955,00","5.955,00","5.955,00","5.955,00","0,32K","-9,99%",
"30/01/2026","6.616,00","7.014,00","7.014,00","6.616,00","5,18K","-9,99%",
"29/01/2026","7.350,00","7.300,00","7.399,00","7.260,00","2,95K","4,23%",
"28/01/2026","7.052,00","7.079,00","7.150,00","6.950,00","2,46K","2,81%",
"27/01/2026","6.859,00","6.751,00","6.997,00","6.595,00","1,15K","2,36%",
"26/01/2026","6.701,00","6.500,00","6.800,00","6.500,00","2,00K","8,08%",
"23/01/2026","6.200,00","6.100,00","6.219,00","6.100,00","1,60K","4,71%",
"22/01/2026","5.921,00","5.980,00","6.002,00","5.920,00","0,28K","-2,76%",
"21/01/2026","6.089,00","6.005,00","6.140,00","6.005,00","1,19K","2,34%",
"20/01/2026","5.950,00","5.845,00","6.100,00","5.830,00","1,90K","2,59%",
"19/01/2026","5.800,00","5.842,00","5.886,00","5.670,00","0,95K","6,42%",
"16/01/2026","5.450,00","5.851,00","5.980,00","5.421,00","1,58K","-9,17%",
"15/01/2026","6.000,00","6.254,00","6.256,00","5.715,00","6,43K","5,49%",
"13/01/2026","5.688,00","5.584,00","5.688,00","5.500,00","7,64K","10,00%",
"12/01/2026","5.171,00","4.881,00","5.171,00","4.881,00","3,61K","10,00%",
"09/01/2026","4.701,00","4.566,00","4.750,00","4.566,00","2,71K","3,32%",
"08/01/2026","4.550,00","4.748,00","4.748,00","4.500,00","2,05K","-0,13%",
"07/01/2026","4.556,00","4.600,00","4.849,00","4.550,00","3,05K","1,97%",
"06/01/2026","4.468,00","4.500,00","4.620,00","4.300,00","1,90K","0,40%",
"05/01/2026","4.450,00","4.230,00","4.450,00","4.220,00","0,53K","5,95%",
"02/01/2026","4.200,00","4.118,00","4.260,00","4.000,00","2,83K","2,44%",
"31/12/2025","4.100,00","4.089,00","4.100,00","3.975,00","4,41K","0,00%",
"30/12/2025","4.100,00","4.070,00","4.100,00","3.911,00","0,49K","5,13%",
"29/12/2025","3.900,00","4.088,00","4.088,00","3.850,00","0,37K","0,00%",
"26/12/2025","3.900,00","3.960,00","4.139,00","3.900,00","1,82K","-0,76%",
"25/12/2025","3.930,00","4.091,00","4.091,00","3.915,00","0,39K","-3,08%",
"24/12/2025","4.055,00","3.888,00","4.100,00","3.888,00","2,22K","7,42%",
"23/12/2025","3.775,00","3.875,00","3.875,00","3.691,00","0,64K","3,20%",
"22/12/2025","3.658,00","3.500,00","3.684,00","3.499,00","1,46K","9,19%",
"19/12/2025","3.350,00","3.348,00","3.455,00","3.348,00","4,16K","1,52%",
"18/12/2025","3.300,00","3.220,00","3.300,00","3.219,00","1,35K","2,48%",
"17/12/2025","3.220,00","3.247,00","3.247,00","3.167,00","0,23K","-0,25%",
"16/12/2025","3.228,00","3.237,00","3.250,00","3.155,00","0,09K","-0,31%",
"15/12/2025","3.238,00","3.249,00","3.250,00","3.144,00","0,29K","2,27%",
"12/12/2025","3.166,00","3.100,00","3.253,00","3.100,00","0,90K","-0,44%",
"11/12/2025","3.180,00","3.060,00","3.180,00","3.051,00","0,75K","4,26%",
"10/12/2025","3.050,00","2.996,00","3.050,00","2.930,00","3,31K","4,45%",
"09/12/2025","2.920,00","2.830,00","2.920,00","2.830,00","0,43K","1,28%",
"08/12/2025","2.883,00","2.880,00","2.890,00","2.810,00","0,15K","0,77%",
"05/12/2025","2.861,00","2.850,00","2.900,00","2.850,00","0,21K","-0,66%",
"04/12/2025","2.880,00","2.830,00","2.880,00","2.802,00","0,98K","2,86%",
"03/12/2025","2.800,00","2.755,00","2.805,00","2.755,00","1,40K","1,45%",
"02/12/2025","2.760,00","2.760,00","2.760,00","2.744,00","0,27K","0,36%",
"01/12/2025","2.750,00","2.744,00","2.775,00","2.740,00","5,07K","0,26%",
"28/11/2025","2.743,00","2.700,00","2.745,00","2.700,00","0,54K","5,50%",
"27/11/2025","2.600,00","2.600,00","2.605,00","2.600,00","0,18K","-0,61%",
"26/11/2025","2.616,00","2.616,00","2.616,00","2.616,00","0,11K","0,00%",
"24/11/2025","2.616,00","2.616,00","2.616,00","2.616,00","0,00K","-0,11%",
"21/11/2025","2.619,00","2.552,00","2.619,00","2.552,00","0,01K","0,73%",
"20/11/2025","2.600,00","2.600,00","2.620,00","2.550,00","0,46K","0,00%",
"19/11/2025","2.600,00","2.638,00","2.638,00","2.590,00","0,04K","-1,48%",
"17/11/2025","2.639,00","2.648,00","2.648,00","2.600,00","0,01K","1,50%",
"14/11/2025","2.600,00","2.694,00","2.694,00","2.571,00","0,04K","-1,89%",
"13/11/2025","2.650,00","2.650,00","2.697,00","2.650,00","1,12K","2,04%",
"12/11/2025","2.597,00","2.505,00","2.600,00","2.505,00","0,02K","-0,12%",
"11/11/2025","2.600,00","2.600,00","2.600,00","2.510,00","0,54K","1,17%",
"10/11/2025","2.570,00","2.562,00","2.648,00","2.562,00","0,14K","0,35%",
"07/11/2025","2.561,00","2.600,00","2.648,00","2.561,00","0,15K","-1,46%",
"05/11/2025","2.599,00","2.560,00","2.600,00","2.559,00","0,45K","-1,52%",
"04/11/2025","2.639,00","2.600,00","2.639,00","2.600,00","0,02K","1,50%",
"03/11/2025","2.600,00","2.604,00","2.610,00","2.600,00","0,12K","-0,50%",
"31/10/2025","2.613,00","2.602,00","2.644,00","2.602,00","0,16K","0,50%",
"30/10/2025","2.600,00","2.615,00","2.615,00","2.590,00","0,25K","-0,57%",
"29/10/2025","2.615,00","2.560,00","2.670,00","2.560,00","0,56K","3,93%",
"28/10/2025","2.516,00","2.606,00","2.695,00","2.516,00","1,19K","-6,12%",
"27/10/2025","2.680,00","2.681,00","2.726,00","2.680,00","0,37K","-0,41%",
"24/10/2025","2.691,00","2.673,00","2.726,00","2.670,00","0,17K","-1,32%",
"23/10/2025","2.727,00","2.650,00","2.727,00","2.650,00","0,93K","1,04%",
